uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
99650,4257,697182,DEN,1,KOFF,1,3,23,25,8,5,2,2,0,18,3,28,5,3,0,0,46,FUM
99651,4257,697190,CAR,1,FUM,1,4,24,29,8,5,2,2,1,40,5,31,3,2,0,15,71,TD
99652,4257,697200,DEN,2,KOFF,1,6,10,25,11,5,0,4,0,10,5,40,6,4,0,0,50,INT
99653,4257,697211,CAR,2,INT,1,1,11,36,3,0,0,0,0,4,1,1,2,1,0,0,5,PUNT
99654,4257,697215,DEN,3,PUNT,2,2,36,20,5,4,2,1,0,65,4,15,1,1,5,0,80,TD
99655,4257,697222,CAR,3,KOFF,2,9,15,11,18,12,3,4,0,31,9,56,9,6,2,0,89,TD
99656,4257,697243,DEN,4,KOFF,2,1,16,25,3,0,0,0,0,3,2,0,1,0,0,0,3,PUNT
99657,4257,697247,CAR,4,PUNT,2,1,42,22,7,5,2,1,0,24,3,23,3,2,5,0,52,FG
99658,4257,697256,DEN,5,KOFF,2,0,3,25,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
99659,4257,697258,CAR,5,KOFF,3,3,36,25,5,3,1,0,0,19,5,0,0,0,0,0,19,PUNT
99660,4257,697264,DEN,6,PUNT,3,2,14,20,4,2,1,1,1,12,2,23,2,1,15,0,50,INT
99661,4257,697269,CAR,6,INT,3,1,40,11,3,1,0,0,0,7,1,-7,2,0,0,0,0,PUNT
99662,4257,697273,DEN,7,PUNT,3,1,51,14,3,0,0,0,0,1,1,0,2,2,0,0,1,PUNT
99663,4257,697277,CAR,7,PUNT,3,1,41,39,3,0,0,0,0,0,0,13,3,1,0,20,-7,PUNT
99664,4257,697283,DEN,8,PUNT,3,4,8,22,8,7,2,3,0,21,2,57,6,6,0,0,78,TD
99665,4257,697293,CAR,8,KOFF,4,0,43,25,2,1,0,0,0,6,1,0,1,0,0,15,6,INT
99666,4257,697295,DEN,9,INT,4,4,41,77,10,4,3,0,0,17,7,6,3,1,0,0,23,TD
99667,4257,697307,CAR,9,KOFF,4,5,5,25,10,6,0,3,0,16,5,41,4,3,0,0,57,FG
99668,4257,697318,DEN,10,KOFF,4,1,15,25,3,0,0,0,0,3,1,-10,2,0,0,0,-7,PUNT
99669,4257,697322,CAR,10,PUNT,4,3,2,40,12,3,0,2,0,10,2,18,9,3,5,5,28,MFG
99670,4257,697337,DEN,11,MFG,4,0,4,40,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
99671,4258,697339,BAL,1,KOFF,1,3,16,14,5,3,0,1,0,6,3,14,2,2,0,5,20,PUNT
99672,4258,697346,BUF,1,PUNT,1,2,11,32,3,0,0,0,0,-6,1,-2,2,2,0,0,-8,PUNT
99673,4258,697350,BAL,2,PUNT,1,2,33,34,5,2,1,1,0,0,1,25,4,3,0,10,15,FUM
99674,4258,697357,BUF,2,FUM,1,1,38,53,3,1,0,0,1,-1,1,5,2,1,0,5,4,PUNT
99675,4258,697362,BAL,3,PUNT,1,4,47,9,9,4,1,2,0,13,4,56,4,3,0,10,59,FG
99676,4258,697373,BUF,3,KOFF,1,2,36,25,6,1,0,1,0,5,1,6,5,3,0,0,11,PUNT
99677,4258,697380,BAL,4,PUNT,2,2,48,15,6,5,1,1,0,20,3,70,3,2,15,5,85,TD
99678,4258,697389,BUF,4,KOFF,2,7,9,25,12,8,3,2,0,38,8,47,4,3,0,10,75,TD
99679,4258,697404,BAL,5,KOFF,2,3,2,23,9,4,0,2,0,8,2,13,7,3,0,0,21,ENDQ
99680,4258,697414,BUF,5,KOFF,3,6,23,25,11,6,2,1,0,15,6,24,4,3,5,0,44,MFG
99681,4258,697425,BAL,6,MFG,3,1,5,39,3,1,0,0,0,8,1,0,2,0,0,0,8,PUNT
99682,4258,697429,BUF,6,PUNT,3,3,23,28,5,3,0,1,0,6,4,11,1,1,0,0,17,PUNT
99683,4258,697435,BAL,7,PUNT,3,3,33,9,7,2,0,2,2,-2,1,21,6,6,30,0,49,DWNS
99684,4258,697443,BUF,7,DWNS,3,1,24,42,3,0,0,0,0,2,1,7,2,1,0,0,9,PUNT
99685,4258,697447,BAL,8,PUNT,4,1,21,30,3,0,0,0,0,0,1,-8,2,0,0,0,-8,PUNT
99686,4258,697451,BUF,8,PUNT,4,1,13,35,3,0,0,0,0,6,2,0,1,0,0,0,6,PUNT
99687,4258,697455,BAL,9,PUNT,4,5,59,22,13,4,0,3,1,11,4,34,8,4,14,0,59,FG
99688,4258,697470,BUF,9,KOFF,4,1,10,22,3,1,0,0,0,0,0,-3,3,1,0,5,-8,PUNT
99689,4258,697475,BAL,10,PUNT,4,4,29,36,8,3,2,0,0,19,8,0,0,0,0,0,19,ENDQ
99690,4259,697484,HOU,1,KOFF,1,3,31,27,7,4,1,1,0,27,4,12,3,2,0,0,39,INT
