uid,gid,player,pat,fgs,fgm,fgl,fp,game,seas,year,team
8441,4257,GG-0100,2,1,1,0,9,1,8,2016,CAR
8442,4257,BM-1650,3,0,0,0,3,1,4,2016,DEN
8443,4258,JT-3950,1,1,0,1,9,1,5,2016,BAL
8444,4258,DC-0500,1,0,0,0,1,1,9,2016,BUF
8445,4259,CB-0700,2,0,0,0,2,1,9,2016,CHI
8446,4259,NN-0200,2,3,0,0,11,1,12,2016,HOU
8447,4260,NF-0300,1,2,1,0,11,1,10,2016,NYJ
8448,4260,MN-0800,2,2,1,0,12,1,12,2016,CIN
8449,4261,CS-4250,3,2,0,0,9,1,4,2016,PHI
8450,4261,PM-1300,1,1,0,0,4,1,3,2016,CLE
8451,4262,MC-3000,3,2,0,0,9,1,10,2016,GB
8452,4262,JM-7000,2,2,0,1,13,1,2,2016,JAC
8453,4263,RS-3400,1,1,0,0,4,1,8,2016,TEN
8454,4263,BW-0350,1,2,1,1,16,1,5,2016,MIN
8455,4264,SJ-0300,1,1,1,0,8,1,17,2016,OAK
8456,4264,WL-0300,4,1,1,0,11,1,1,2016,NO
8457,4265,CS-0250,3,1,1,0,10,1,3,2016,KC
8458,4265,JL-0207,3,2,0,0,9,1,2,2016,SD
8459,4266,RA-0375,4,0,1,0,8,1,1,2016,TB
8460,4266,MB-4600,1,3,0,0,10,1,15,2016,ATL
8461,4267,SH-0400,0,2,0,0,6,1,9,2016,SEA
8462,4267,AF-1150,1,0,1,0,5,1,2,2016,MIA
8463,4268,MP-2100,4,0,1,0,8,1,11,2016,DET
8464,4268,AV-0400,3,0,1,1,12,1,21,2016,IND
8465,4269,DB-0200,1,2,0,2,17,1,6,2016,DAL
8466,4269,RB-4650,2,0,0,0,2,1,5,2016,NYG
8467,4270,SG-0800,2,1,1,1,14,1,11,2016,NE
8468,4270,CC-1150,3,0,0,0,3,1,3,2016,ARI
8469,4271,DH-3970,1,2,1,0,11,1,4,2016,WAS
8470,4271,CB-2275,5,0,1,0,9,1,3,2016,PIT
8471,4272,PD-0200,4,0,0,0,4,1,19,2016,SF
8472,4273,NF-0300,4,3,0,0,13,2,10,2016,NYJ
8473,4273,DC-0500,4,1,0,0,7,2,9,2016,BUF
8474,4274,PM-1300,2,0,0,0,2,2,3,2016,CLE
8475,4274,JT-3950,2,0,2,1,15,2,5,2016,BAL
8476,4275,CB-2275,3,0,1,0,7,2,3,2016,PIT
8477,4275,MN-0800,1,3,0,0,10,2,12,2016,CIN
8478,4276,DB-0200,3,2,0,0,9,2,6,2016,DAL
8479,4276,DH-3970,2,3,0,0,11,2,4,2016,WAS
8480,4277,NN-0200,1,3,1,0,14,2,12,2016,HOU
8481,4277,CS-0250,0,2,1,1,15,2,3,2016,KC
8482,4278,SG-0800,4,1,0,0,7,2,11,2016,NE
8483,4278,AF-1150,3,1,0,0,6,2,2,2016,MIA
8484,4279,WL-0300,1,1,1,0,8,2,1,2016,NO
8485,4279,JB-7100,1,2,1,0,11,1,14,2016,NYG
8486,4280,PD-0200,3,2,0,0,9,2,19,2016,SF
8487,4280,GG-0100,4,2,2,0,18,2,8,2016,CAR
8488,4281,RS-3400,1,0,1,0,5,2,8,2016,TEN
8489,4281,MP-2100,1,1,1,0,8,2,11,2016,DET
8490,4282,GZ-2000,0,2,1,0,10,1,5,2016,LA
8491,4282,SH-0400,0,1,0,0,3,2,9,2016,SEA
8492,4283,CC-1150,4,1,1,0,11,2,3,2016,ARI
8493,4283,RA-0375,1,0,0,0,1,2,1,2016,TB
8494,4284,MB-4600,3,2,0,0,9,2,15,2016,ATL
8495,4284,SJ-0300,4,0,0,0,4,2,17,2016,OAK
8496,4285,BM-1650,2,3,1,0,15,2,4,2016,DEN
8497,4285,AV-0400,2,0,1,1,11,2,21,2016,IND
8498,4286,JL-0207,5,1,0,0,8,2,2,2016,SD
8499,4286,JM-7000,2,0,0,0,2,2,2,2016,JAC
8500,4287,MC-3000,2,0,0,0,2,2,10,2016,GB
8501,4287,BW-0350,2,0,1,0,6,2,5,2016,MIN
8502,4288,CS-4250,2,2,0,1,13,2,4,2016,PHI
8503,4288,CB-0700,2,0,0,0,2,2,9,2016,CHI
8504,4289,SG-0800,3,2,0,0,9,3,11,2016,NE
