pid,kicker,kgro,knet,ktb,kr,kry
697181,GG-0100,65,40,1,,0
697199,GG-0100,80,55,1,,0
697221,BM-1650,58,49,0,TG-0900,9
697242,GG-0100,65,40,1,,0
697255,GG-0100,65,40,1,,0
697257,BM-1650,65,40,1,,0
697292,BM-1650,65,40,1,,0
697306,BM-1650,65,40,1,,0
697317,GG-0100,65,40,1,,0
697338,JG-0850,65,51,0,DH-2700,14
697372,JT-3950,65,40,1,,0
697388,JT-3950,50,25,1,,0
697403,JG-0850,65,42,0,DH-2700,23
697413,JT-3950,65,40,1,,0
697469,JT-3950,56,43,0,NO-0150,13
697483,CB-0700,66,38,0,TE-0350,28
697502,CB-0700,69,41,0,TE-0350,28
697528,NN-0200,71,45,0,DT-1250,26
697547,NN-0200,63,43,0,DT-1250,20
697562,CB-0700,55,38,0,TE-0350,17
697564,NN-0200,64,48,0,DT-1250,16
697573,NN-0200,65,40,1,,0
697609,NN-0200,66,48,0,DT-1250,18
697624,NN-0200,62,39,0,DT-1250,23
697645,NF-0300,65,40,1,,0
697663,NF-0300,59,44,0,AE-1037,15
697682,MN-0800,66,42,0,JM-0887,24
697695,MN-0800,69,4,0,JM-0887,65
697703,NF-0300,65,40,1,,0
697717,NF-0300,66,50,0,AJ-1200,16
697731,MN-0800,65,44,0,JM-0887,21
697759,MN-0800,65,40,1,,0
697772,NF-0300,65,40,1,,0
697789,NF-0300,68,49,0,AJ-1200,19
697799,MN-0800,65,40,1,,0
697804,PM-1300,65,40,1,,0
697816,CS-4250,65,40,1,,0
697848,CS-4250,65,40,1,,0
697859,PM-1300,65,42,0,WS-0650,23
697882,CS-4250,65,40,1,,0
697887,CS-4250,65,40,1,,0
697893,PM-1300,65,40,1,,0
697903,BC-2000,72,53,0,DS-3300,19
697914,CS-4250,65,40,1,,0
697963,CS-4250,65,40,1,,0
697967,MC-3000,66,47,0,CG-1950,19
697981,MC-3000,65,40,1,,0
697999,JM-7000,65,40,1,,0
698026,JM-7000,65,40,1,,0
698037,MC-3000,65,40,1,,0
698046,JM-7000,65,40,1,,0
698054,MC-3000,65,40,1,,0
698056,JM-7000,65,40,1,,0
698071,MC-3000,65,40,1,,0
698082,JM-7000,65,40,1,,0
698102,MC-3000,66,34,0,CG-1950,32
698118,JM-7000,61,47,0,TM-3150,14
698137,BW-0350,55,36,0,MM-0900,19
698160,RS-3400,65,40,1,,0
698206,RS-3400,65,40,1,,0
698215,RS-3400,60,-1,0,CP-0750,61
698220,BW-0350,64,45,0,MM-0900,19
698236,BW-0350,60,31,0,MM-0900,29
698246,BW-0350,65,40,1,,0
698262,BW-0350,60,40,0,MM-0900,20
698265,BW-0350,65,40,1,,0
698284,BW-0350,70,39,0,MM-0900,31
698296,RS-3400,15,15,0,,0
698298,SJ-0300,65,40,1,,0
698307,SJ-0300,64,54,0,MM-5750,10
698321,WL-0300,58,43,0,TJ-2400,15
698331,SJ-0300,65,40,1,,0
698343,WL-0300,57,36,0,TJ-2400,21
698361,WL-0300,62,41,0,TJ-2400,21
698384,WL-0300,65,40,1,,0
698404,WL-0300,65,40,1,,0
698418,SJ-0300,59,41,0,MM-5750,18
698435,SJ-0300,62,36,0,MM-5750,26
698444,WL-0300,65,40,1,,0
698448,SJ-0300,63,49,0,MM-5750,14
698454,WL-0300,65,40,1,,0
698469,SJ-0300,75,57,0,MM-5750,18
698476,JL-0207,65,40,1,,0
698484,CS-0250,65,40,1,,0
698493,JL-0207,65,40,1,,0
698517,JL-0207,65,40,1,,0
698531,JL-0207,65,40,1,,0
698556,CS-0250,61,38,0,CM-0150,23
698576,JL-0207,65,40,1,,0
698585,CS-0250,65,40,1,,0
698596,JL-0207,65,40,1,,0
698612,CS-0250,68,48,0,CM-0150,20
698630,CS-0250,65,40,1,,0
698640,CS-0250,65,40,1,,0
698647,JL-0207,65,40,1,,0
698658,RA-0375,72,46,0,EW-0500,26
698671,RA-0375,65,40,1,,0
698677,MB-3000,65,40,1,,0
698697,MB-3000,65,40,1,,0
698709,RA-0375,65,40,1,,0
698729,MB-3000,65,40,1,,0
698741,RA-0375,65,40,1,,0
698743,MB-3000,65,40,1,,0
698749,RA-0375,69,44,0,EW-0500,25
698767,RA-0375,70,36,0,EW-0500,34
698778,MB-3000,65,40,1,,0
698805,MB-3000,60,48,0,AH-3862,12
698822,AF-1150,65,40,1,,0
698846,SH-0400,62,45,0,DW-3125,17
698871,AF-1150,65,40,1,,0
698906,SH-0400,69,24,0,JG-2950,45
698965,AF-1150,65,40,1,,0
698981,SH-0400,69,47,0,JG-2950,22
698984,SM-0650,65,40,1,,0
699005,SM-0650,65,40,1,,0
699034,SM-0650,69,44,0,QB-0250,25
699043,PM-0300,65,40,1,,0
699053,SM-0650,65,40,1,,0
699064,PM-0300,65,40,1,,0
699066,PM-0300,65,40,1,,0
699084,PM-0300,68,46,0,AR-1100,22
699101,SM-0650,65,40,1,,0
699112,PM-0300,65,40,1,,0
699127,PM-0300,65,40,1,,0
699138,SM-0650,65,40,1,,0
699148,PM-0300,50,25,1,,0
699154,SM-0650,65,53,0,QB-0250,12
699155,RB-4650,65,40,1,,0
699171,DB-0200,65,40,1,,0
699195,DB-0200,65,40,1,,0
699201,RB-4650,65,40,1,,0
699214,DB-0200,65,40,1,,0
699229,RB-4650,60,39,0,LW-1150,21
699230,DB-0200,70,41,0,DH-1800,29
699241,DB-0200,68,51,0,DH-1800,17
699270,DB-0200,65,40,1,,0
699292,RB-4650,65,40,1,,0
699318,SG-0800,65,40,1,,0
699336,SG-0800,65,54,0,AE-0750,11
699355,SG-0800,67,46,0,AE-0750,21
699383,CC-1150,65,39,0,CJ-2350,26
699399,CC-1150,65,40,1,,0
699410,SG-0800,65,40,1,,0
699426,CC-1150,65,40,1,,0
699441,SG-0800,60,44,0,AE-0750,16
699451,CC-1150,50,25,1,,0
699466,SG-0800,62,48,0,AE-0750,14
699480,CB-2275,65,40,1,,0
699502,DH-3970,65,40,1,,0
699514,DH-3970,65,40,1,,0
699527,CB-2275,65,40,1,,0
699550,CB-2275,65,40,1,,0
699552,DH-3970,65,40,1,,0
699561,CB-2275,65,40,1,,0
699573,CB-2275,77,48,0,WB-0700,29
699585,DH-3970,65,40,1,,0
699598,DH-3970,56,38,0,FT-0300,18
699613,CB-2275,60,35,1,,0
699627,CB-2275,65,40,1,,0
699636,BP-0750,65,40,1,,0
699668,BP-0750,71,44,0,BC-3070,27
699696,BP-0750,65,40,1,,0
699722,GZ-2000,65,40,1,,0
699772,BP-0750,65,40,1,,0
699790,BP-0750,69,37,0,BC-3070,32
699806,DC-0500,65,40,1,,0
699824,NF-0300,69,47,0,BT-0300,22
699829,DC-0500,47,36,0,JM-0887,11
699840,NF-0300,61,39,0,BT-0300,22
699852,NF-0300,65,40,1,,0
699871,NF-0300,65,40,1,,0
699885,DC-0500,64,55,0,JM-0887,9
699887,NF-0300,65,40,1,,0
699892,DC-0500,64,45,0,JM-0887,19
699900,DC-0500,53,38,0,JH-5650,15
699924,NF-0300,63,18,0,BT-0300,45
699938,NF-0300,66,43,0,BT-0300,23
699951,NF-0300,53,40,0,BT-0300,13
699963,DC-0500,17,17,0,,0
699969,JT-3950,65,40,1,,0
699981,PM-1300,66,18,0,DH-2700,48
699991,PM-1300,65,40,1,,0
699999,PM-1300,65,40,1,,0
700045,JT-3950,64,45,0,DJ-1850,19
700055,PM-1300,72,40,0,DH-2700,32
700063,JT-3950,60,47,0,GA-0500,13
700104,JT-3950,65,40,1,,0
700123,JT-3950,65,40,1,,0
700134,MN-0800,65,40,1,,0
700167,CB-2275,65,40,1,,0
700176,MN-0800,67,45,0,FT-0300,22
700210,CB-2275,65,40,1,,0
700230,CB-2275,65,40,1,,0
700254,CB-2275,65,40,1,,0
700269,MN-0800,65,40,1,,0
700296,CB-2275,65,40,1,,0
700306,MN-0800,65,40,1,,0
700322,DH-3970,64,45,0,RS-2125,19
700336,DB-0200,68,40,0,CT-1220,28
700356,DB-0200,65,40,1,,0
700368,DH-3970,65,40,1,,0
700390,DB-0200,53,39,0,NP-0100,14
700404,DH-3970,65,40,1,,0
700406,DB-0200,65,40,1,,0
700416,DH-3970,65,40,1,,0
700428,DB-0200,8,8,0,,0
700436,DH-3970,65,40,1,,0
700445,DH-3970,68,35,0,LW-1150,33
