uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88591,4257,TS-1450,26,18,178,2,1,5,3,20,0,0,0,0,0,0,0,0,0,0,0,58,9.12,11.12,9.12,1,2,2016,DEN,QB,13,1
88592,4257,DT-0900,0,0,0,0,0,0,0,0,0,6,4,48,0,0,0,0,0,0,0,44,4.8,6.8,8.8,1,7,2016,DEN,LWR,88,1
88593,4257,CA-0750,0,0,0,0,0,20,8,92,1,5,4,47,1,0,0,0,0,0,0,48,25.9,27.9,29.9,1,4,2016,DEN,RB,22,1
88594,4257,ES-0200,0,0,0,0,0,0,0,0,0,8,5,49,0,0,0,0,0,0,0,50,4.9,7.4,9.9,1,7,2016,DEN,RWR,10,1
88595,4257,VG-0300,0,0,0,0,0,0,0,0,0,5,4,28,0,0,0,0,0,0,0,41,2.8,4.8,6.8,1,6,2016,DEN,TE,85,1
88596,4257,DB-2950,0,0,0,0,0,3,1,8,0,0,0,0,0,0,0,0,1,0,0,6,-1.2,-1.2,-0.2,1,1,2016,DEN,RB,20,2
88597,4257,JS-6700,0,0,0,0,0,15,9,64,0,1,0,0,0,0,0,0,0,0,0,42,6.4,6.4,6.4,1,9,2016,CAR,RB,28,1
88598,4257,MT-1300,0,0,0,0,0,2,1,6,0,1,1,1,0,0,0,0,0,0,0,31,0.7,1.2,1.7,1,9,2016,CAR,FB,35,1
88599,4257,CN-0500,33,18,194,1,1,11,8,54,1,0,0,0,0,0,0,0,0,0,0,73,21.16,22.16,21.16,1,6,2016,CAR,QB,1,1
88600,4257,GO-0100,0,0,0,0,0,0,0,0,0,9,7,73,0,0,0,0,0,0,0,73,7.3,10.8,14.3,1,10,2016,CAR,TE,88,1
88601,4257,KB-0950,0,0,0,0,0,0,0,0,0,12,6,91,1,0,0,0,0,0,0,52,15.1,18.1,21.1,1,3,2016,CAR,LWR,13,1
88602,4257,TG-0900,0,0,0,0,0,1,1,20,0,1,1,5,0,3,21,0,0,0,0,45,2.5,3,3.5,1,10,2016,CAR,RWR,19,1
88603,4257,AJ-0375,0,0,0,0,0,1,1,28,1,0,0,0,0,0,0,0,0,0,0,29,8.8,8.8,8.8,1,1,2016,DEN,FB,32,1
88604,4257,FW-0750,0,0,0,0,0,3,3,13,0,1,1,4,0,0,0,0,0,0,0,13,1.7,2.2,2.7,1,5,2016,CAR,RB,43,2
88605,4257,DF-2200,0,0,0,0,0,0,0,0,0,4,1,9,0,0,0,0,0,5,0,39,0.9,1.4,1.9,1,2,2016,CAR,LWR,17,2
88606,4257,JN-1900,0,0,0,0,0,0,0,0,0,1,0,0,0,2,26,0,0,0,0,30,0,0,0,1,8,2016,DEN,RWR,11,3
88607,4257,CB-3850,0,0,0,0,0,0,0,0,0,2,1,11,0,0,0,0,0,0,0,39,1.1,1.6,2.1,1,3,2016,CAR,RWR,10,2
88608,4257,KB-1050,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,2,0.6,1.1,1.6,1,3,2016,DEN,RB,35,3
88609,4258,DH-2700,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0,2,0,0,0,1,11,2016,BAL,LWR,14,3
88610,4258,JF-2800,0,0,0,0,0,10,7,41,0,3,3,15,0,0,0,0,0,0,0,34,5.6,7.1,8.6,1,9,2016,BAL,RB,29,1
88611,4258,JF-1900,34,23,258,0,1,4,0,-3,0,0,0,0,0,0,0,0,1,5,0,68,12.02,12.02,13.02,1,9,2016,BAL,QB,5,1
88612,4258,KJ-1400,0,0,0,0,0,1,0,2,0,3,2,21,0,0,0,0,0,0,0,21,2.3,3.3,4.3,1,4,2016,BAL,FB,44,1
88613,4258,TW-1350,0,0,0,0,0,12,3,32,0,2,2,6,0,0,0,0,0,0,0,30,3.8,4.8,5.8,1,3,2016,BAL,RB,28,2
88614,4258,TT-0500,22,15,111,0,0,5,2,11,0,0,0,0,0,0,0,0,0,5,0,49,5.54,5.54,5.54,1,6,2016,BUF,QB,5,1
88615,4258,LM-1000,0,0,0,0,0,16,8,58,1,4,4,12,0,0,0,0,0,0,0,42,13,15,17,1,8,2016,BUF,RB,25,1
88616,4258,MG-0650,0,0,0,0,0,0,0,0,0,1,1,-4,0,0,0,0,0,0,0,3,-0.4,0.1,0.6,1,4,2016,BUF,RB,35,2
88617,4258,SS-2100,0,0,0,0,0,0,0,0,0,9,5,19,0,0,0,0,0,5,0,45,1.9,4.4,6.9,1,16,2016,BAL,LWR,89,1
88618,4258,MW-0500,0,0,0,0,0,1,1,11,0,6,3,91,1,0,0,0,0,0,0,44,16.2,17.7,19.2,1,8,2016,BAL,RWR,12,1
88619,4258,CC-2100,0,0,0,0,0,0,0,0,0,3,2,40,0,0,0,0,0,0,0,48,4,5,6,1,6,2016,BUF,TE,85,1
88620,4258,BP-0450,0,0,0,0,0,0,0,0,0,2,1,35,0,0,0,0,0,0,0,21,3.5,4,4.5,1,2,2016,BAL,RWR,18,2
88621,4258,CG-1030,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,30,0.5,1,1.5,1,3,2016,BAL,TE,80,2
88622,4258,KA-0400,0,0,0,0,0,0,0,0,0,2,2,14,0,0,0,0,0,0,0,35,1.4,2.4,3.4,1,6,2016,BAL,LWR,11,2
88623,4258,SW-0450,0,0,0,0,0,0,0,0,0,6,4,43,0,0,0,0,0,0,0,42,4.3,6.3,8.3,1,3,2016,BUF,LWR,14,1
88624,4258,GS-0100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,1,6,2016,BUF,RWR,11,2
88625,4258,GG-0487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,1,1,2016,BUF,FB,48,1
