gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,pdo1,ptm2,pen2,desc2,cat2,pey2,pdo2,ptm3,pen3,desc3,cat3,pey3,pdo3,ints,iry,fum,frcv,fry,forc,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,lt,lg,c,rg,rt
4257,697181,"G.Gano kicks 65 yards from CAR 35 to end zone, Touchback.",DEN,CAR,KOFF,0,6,1,15,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GG-0100,65,40,Y,,,,,,,
4257,697182,(15:00) T.Siemian pass short left to D.Thomas to DEN 36 for 11 yards (L.Kuechly).,DEN,CAR,PASS,1,30,1,15,0,0,0,3,3,1,10,25,2,11,Y,Y,,,,,,,,,TS-1450,Y,,SL,DT-0900,,LK-0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697183,(14:17) T.Siemian pass incomplete short right to C.Anderson [K.Coleman].,DEN,CAR,PASS,2,4,1,14,17,0,0,3,3,1,10,36,2,,,,,,,,,,,,TS-1450,,,SR,CA-0750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697184,(14:13) T.Siemian pass incomplete short right to E.Sanders.,DEN,CAR,PASS,3,5,1,14,13,0,0,3,3,2,10,36,2,,,,,,,,,,,,TS-1450,,,SR,ES-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697185,(14:08) (Shotgun) T.Siemian pass short left to V.Green ran ob at DEN 48 for 12 yards.,DEN,CAR,PASS,4,26,1,14,8,0,0,3,3,3,10,36,2,12,Y,Y,Y,,,,,,,,TS-1450,Y,,SL,VG-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697186,(13:42) T.Siemian pass short right to E.Sanders to CAR 47 for 5 yards (R.McClain).,DEN,CAR,PASS,5,41,1,13,42,0,0,3,3,1,10,48,3,5,Y,,,,,,,,,,TS-1450,Y,,SR,ES-0200,,RM-1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697187,(13:01) C.Anderson up the middle to CAR 34 for 13 yards (J.Bradberry).,DEN,CAR,RUSH,6,38,1,13,1,0,0,3,3,2,5,53,3,13,Y,Y,,,,CA-0750,,MD,JB-4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697188,(12:23) C.Anderson right guard to CAR 29 for 5 yards (R.McClain).,DEN,CAR,RUSH,7,36,1,12,23,0,0,3,3,1,10,66,4,5,Y,,,,,CA-0750,,RG,RM-1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697189,"(11:47) D.Booker right guard to CAR 29 for no gain (C.Johnson). FUMBLES (C.Johnson), RECOVERED by CAR-S.Thompson at CAR 29. S.Thompson to CAR 29 for no gain (D.Booker).",DEN,CAR,RUSH,8,10,1,11,47,0,0,3,3,2,5,71,4,0,,Y,,,,DB-2950,,RG,CJ-1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DB-2950,ST-0550,0,CJ-1300,,,,,,,,,,,,,,,,,,,,,RO-0400,TS-0150,MG-0250,CM-1850,MP-0250
4257,697190,(11:37) J.Stewart up the middle to CAR 35 for 6 yards (B.Marshall).,CAR,DEN,RUSH,1,36,1,11,37,0,0,3,3,1,10,29,2,6,Y,,,,,JS-6700,,MD,BM-0330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO-0200,DH-1950,AN-0400,TL-0450,RK-0100
4257,697191,(11:01) (Shotgun) J.Stewart left end to CAR 46 for 11 yards (T.Davis).,CAR,DEN,RUSH,2,40,1,11,1,0,0,3,3,2,4,35,2,11,Y,Y,Y,,,JS-6700,,LE,TD-0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO-0200,DH-1950,AN-0400,TL-0450,RK-0100
4257,697192,(10:21) (Shotgun) M.Tolbert right guard to CAR 47 for 1 yard (D.Ware).,CAR,DEN,RUSH,3,42,1,10,21,0,0,3,3,1,10,46,3,1,,,Y,,,MT-1300,,RG,DW-1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO-0200,DH-1950,AN-0400,TL-0450,RK-0100
4257,697193,(9:39) (Shotgun) C.Newton pass incomplete short middle to G.Olsen (T.Ward).,CAR,DEN,PASS,4,4,1,9,39,0,0,3,3,2,9,47,3,,,,Y,,,,,,,,CN-0500,,,SM,GO-0100,TW-0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO-0200,DH-1950,AN-0400,TL-0450,RK-0100
