pid,punter,pgro,pnet,ptb,pr,pry,pfc
697214,AL-0500,59,39,1,,0,0
697246,RD-1187,44,40,0,TG-0900,4,0
697263,AL-0500,56,36,1,,0,0
697272,AL-0500,76,65,0,JN-1900,11,0
697276,RD-1187,54,46,0,TG-0900,8,0
697282,AL-0500,61,46,0,JN-1900,15,0
697321,RD-1187,42,42,0,,0,0
697345,SK-0600,39,39,0,,0,0
697349,CS-0850,50,42,0,DH-2700,8,0
697361,CS-0850,39,39,0,,0,0
697379,CS-0850,49,49,0,,0,0
697428,SK-0600,46,25,0,BT-0300,21,0
697434,CS-0850,46,46,0,DH-2700,0,1
697446,CS-0850,49,29,1,,0,0
697450,SK-0600,43,43,0,RB-4900,0,1
697454,CS-0850,37,37,0,,0,0
697474,CS-0850,43,50,0,DH-2700,-7,0
697508,SL-0400,49,18,0,ER-0500,31,0
697535,PO-0050,47,38,0,TE-0350,9,0
697552,PO-0050,41,41,0,TE-0350,0,1
697556,SL-0400,60,60,0,ER-0500,0,0
697577,PO-0050,46,46,0,TE-0350,0,1
697581,SL-0400,41,34,0,ER-0500,7,0
697586,PO-0050,29,29,0,TE-0350,0,1
697593,SL-0400,58,56,0,ER-0500,2,0
697597,PO-0050,46,46,0,TE-0350,0,1
697616,PO-0050,43,30,0,TE-0350,13,0
697628,PO-0050,44,37,0,TE-0350,7,0
697635,SL-0400,35,35,0,ER-0500,0,1
697650,KH-2600,58,50,0,JM-0887,8,0
697689,LE-0025,54,39,0,AE-1037,15,0
697707,KH-2600,30,30,0,,0,0
697737,LE-0025,47,41,0,AJ-1200,6,0
697742,KH-2600,56,53,0,JM-0887,3,0
697748,LE-0025,53,53,0,AE-1037,0,1
697820,BC-2000,49,44,0,DS-3300,5,0
697828,DJ-2800,67,47,1,,0,0
697832,BC-2000,59,19,0,DS-3300,40,0
697863,DJ-2800,72,52,1,,0,0
697901,DJ-2800,37,37,0,TW-2700,0,1
697920,BC-2000,42,36,0,DS-3300,6,0
697927,DJ-2800,42,42,0,,0,0
697931,BC-2000,43,43,0,DS-3300,0,1
697936,DJ-2800,45,25,1,,0,0
