gid,seas,wk,day,date,v,h,stad,surf
4257,2016,1,THU,9/8/2016 20:30,CAR,DEN,Sports Authority Field at Mile High,Grass
4258,2016,1,SUN,9/11/2016 13:00,BUF,BAL,M&T Bank Stadium,Grass
4259,2016,1,SUN,9/11/2016 13:00,CHI,HOU,NRG Stadium,AstroTurf
4260,2016,1,SUN,9/11/2016 13:00,CIN,NYJ,MetLife Stadium,UBU Speed Series S5M
4261,2016,1,SUN,9/11/2016 13:00,CLE,PHI,Lincoln Financial Field,DD GrassMaster
4262,2016,1,SUN,9/11/2016 13:00,GB,JAC,EverBank Field,Grass
4263,2016,1,SUN,9/11/2016 13:00,MIN,TEN,LP Field,Grass
4264,2016,1,SUN,9/11/2016 13:00,OAK,NO,Mercedes-Benz Superdome,UBU Speed Series S5M
4265,2016,1,SUN,9/11/2016 13:00,SD,KC,Arrowhead Stadium,Grass
4266,2016,1,SUN,9/11/2016 13:00,TB,ATL,Georgia Dome,FieldTurf
4267,2016,1,SUN,9/11/2016 16:05,MIA,SEA,CenturyLink Field,FieldTurf
4268,2016,1,SUN,9/11/2016 16:25,DET,IND,Lucas Oil Stadium,FieldTurf
4269,2016,1,SUN,9/11/2016 16:25,NYG,DAL,AT&T Stadium,AstroTurf
4270,2016,1,SN,9/11/2016 20:30,NE,ARI,University of Phoenix Stadium,Grass
4271,2016,1,MN,9/12/2016 19:10,PIT,WAS,FedEx Field,Grass
4272,2016,1,MN,9/12/2016 22:20,LA,SF,Levi's Stadium,Grass
4273,2016,2,THU,9/15/2016 20:25,NYJ,BUF,Ralph Wilson Stadium,A Turf Titan
4274,2016,2,SUN,9/18/2016 13:00,BAL,CLE,FirstEnergy Stadium,Grass
4275,2016,2,SUN,9/18/2016 13:00,CIN,PIT,Heinz Field,Grass
4276,2016,2,SUN,9/18/2016 13:00,DAL,WAS,FedEx Field,Grass
4277,2016,2,SUN,9/18/2016 13:00,KC,HOU,NRG Stadium,AstroTurf
4278,2016,2,SUN,9/18/2016 13:00,MIA,NE,Gillette Stadium,FieldTurf
4279,2016,2,SUN,9/18/2016 13:00,NO,NYG,MetLife Stadium,UBU Speed Series S5M
4280,2016,2,SUN,9/18/2016 13:00,SF,CAR,Bank of America Stadium,Grass
4281,2016,2,SUN,9/18/2016 13:00,TEN,DET,Ford Field,FieldTurf
4282,2016,2,SUN,9/18/2016 16:05,SEA,LA,Los Angeles Memorial Coliseum,Grass
4283,2016,2,SUN,9/18/2016 16:05,TB,ARI,University of Phoenix Stadium,Grass
4284,2016,2,SUN,9/18/2016 16:25,ATL,OAK,O.co Coliseum,Grass
4285,2016,2,SUN,9/18/2016 16:25,IND,DEN,Sports Authority Field at Mile High,Grass
