uid,pid,tck,value
460080,697182,LK-0600,1
460081,697186,RM-1900,1
460082,697187,JB-4975,1
460083,697188,RM-1900,1
460084,697189,CJ-1300,1
460085,697190,BM-0330,1
460086,697191,TD-0725,1
460087,697192,DW-1100,1
460088,697194,JS-3150,1
460089,697195,DS-4300,1
460090,697196,SR-0250,1
460091,697201,KS-0850,1
460092,697202,JB-4975,1
460093,697203,LK-0600,1
460094,697204,TD-0700,1
460095,697205,JB-4975,0.5
460096,697205,KC-1800,0.5
460097,697206,TD-0700,1
460098,697207,JB-4975,1
460099,697208,LK-0600,1
460100,697212,DW-4250,1
460101,697213,DS-4300,1
460102,697215,BB-1750,1
460103,697216,TB-1850,1
460104,697217,LK-0600,1
460105,697218,ST-0550,1
460106,697222,VM-0300,1
460107,697224,DS-4300,1
460108,697225,BM-0330,1
460109,697226,DK-0550,1
460110,697227,BM-0330,1
460111,697228,BM-0330,1
460112,697229,TW-0600,1
460113,697230,TD-0725,1
460114,697233,JC-5630,1
460115,697235,BR-1050,1
460116,697236,TD-0725,1
460117,697237,CH-1500,1
460118,697238,TW-0600,1
460119,697243,ST-0550,1
460120,697244,TB-1850,1
460121,697247,DS-4300,1
460122,697248,SW-1750,1
460123,697249,CH-1500,1
460124,697251,BM-0330,1
460125,697258,DW-4250,1
460126,697259,DS-4300,1
460127,697260,BM-0330,1
460128,697261,TD-0725,1
460129,697262,SR-0250,0.5
460130,697262,AT-0100,0.5
460131,697264,JB-4975,1
460132,697265,LK-0600,1
460133,697267,LK-0600,1
460134,697269,SB-0225,1
460135,697273,RD-0850,1
460136,697274,TD-0700,1
460137,697275,LK-0600,1
460138,697281,BR-1050,1
460139,697283,TD-0700,1
460140,697284,KC-1800,1
460141,697285,ST-0550,1
460142,697286,TB-1850,1
460143,697287,LK-0600,1
460144,697288,RM-1900,1
460145,697289,JB-4975,1
460146,697293,CN-0450,1
460147,697295,KC-1800,1
460148,697296,KS-0850,1
460149,697297,RM-1900,1
460150,697298,CJ-1300,1
460151,697300,BB-1750,1
460152,697301,LK-0600,1
460153,697303,AK-0650,0.5
460154,697303,AK-0650,0.5
460155,697307,TD-0725,1
460156,697308,CN-0450,1
460157,697310,VM-0300,1
460158,697311,BR-1050,1
460159,697312,TW-0600,1
460160,697313,BR-1050,1
460161,697314,TD-0725,1
460162,697319,LK-0600,1
