pid,qtr,min,sec,dwn,yds,pts,player,type
697197,1,7,20,2,14,7,KB-0950,REC
697219,2,12,23,3,28,7,AJ-0375,RUSH
697240,2,3,7,1,2,7,CN-0500,RUSH
697290,4,15,0,1,25,7,CA-0750,REC
697304,4,9,30,3,1,7,CA-0750,RUSH
697386,2,10,22,3,66,7,MW-0500,REC
697401,2,3,6,4,1,7,LM-1000,RUSH
697500,1,7,5,2,1,7,JL-0280,RUSH
697545,2,3,21,1,23,7,DH-3950,REC
697560,2,0,13,1,19,7,ER-0500,REC
697607,4,12,49,3,18,7,WF-0300,REC
697661,1,7,43,1,3,7,QE-0100,REC
697693,2,11,31,1,54,7,AG-1500,REC
697701,2,9,44,1,15,6,ED-0200,REC
697757,3,3,15,2,12,7,JH-4025,RUSH
697814,1,9,56,2,19,7,JM-1550,REC
697857,2,9,15,1,2,7,IC-0300,RUSH
697912,3,6,23,1,35,7,NA-0050,REC
697961,4,1,16,3,1,7,RM-1200,RUSH
697979,1,9,45,2,6,7,AR-1300,RUSH
697997,1,3,43,2,5,7,TY-0150,RUSH
698035,2,3,14,2,6,7,JN-0900,REC
698044,2,1,14,3,22,7,JT-2000,REC
698052,2,0,20,3,29,7,DA-0212,REC
698204,2,0,47,2,6,7,DM-4300,REC
698244,3,1,38,2,77,6,EK-0250,INT
698263,4,11,11,1,24,7,DH-4650,FUM
698294,4,0,32,2,4,6,DM-4300,REC
698329,1,1,48,1,6,7,LM-1850,RUSH
698341,2,12,0,4,1,7,WS-0925,REC
698359,2,5,2,1,15,7,BC-2325,REC
698402,3,8,3,1,98,7,BC-2325,REC
698433,4,11,57,2,2,6,JO-0550,RUSH
698446,4,8,38,2,75,8,JR-2075,RUSH
698452,4,6,7,1,2,7,TC-0050,REC
698467,4,0,52,2,10,8,SR-0750,REC
698491,1,8,30,1,1,7,MG-1150,RUSH
698515,2,14,10,3,6,7,MG-1150,RUSH
698529,2,7,59,1,4,7,DW-4300,REC
698583,3,2,53,2,9,7,TH-1750,REC
698609,4,9,23,1,19,7,JM-0200,REC
698638,4,1,11,1,5,7,SW-0350,RUSH
698657,5,9,59,3,2,6,AS-1600,RUSH
698695,1,0,16,1,5,7,MS-0150,REC
698707,2,10,31,2,4,7,BM-3800,REC
698739,2,0,24,2,23,7,CS-1950,REC
698747,3,13,2,1,30,7,AS-0550,REC
698765,3,5,21,2,45,7,ME-0600,REC
698776,3,1,42,2,25,8,JJ-4700,REC
698963,4,4,12,2,2,7,RT-0150,RUSH
698979,4,0,35,2,2,6,DB-0500,REC
699003,1,4,51,1,21,7,TR-0370,RUSH
699032,2,9,16,2,1,7,DW-1550,RUSH
699051,2,1,43,3,6,7,EE-0050,REC
699061,2,0,10,2,2,7,DM-2775,REC
699081,3,8,48,1,19,8,DA-0850,REC
699099,3,2,26,2,11,7,AA-0025,REC
699125,4,8,25,1,16,7,JD-2550,REC
699136,4,4,11,1,13,6,TR-0370,REC
699146,4,0,43,3,6,7,JD-2550,REC
699199,2,9,41,1,15,7,LD-0650,REC
699227,2,0,13,3,9,6,SS-1250,REC
699239,3,10,53,1,8,7,EE-0250,RUSH
699290,4,6,19,3,3,7,VC-0300,REC
699334,1,7,42,2,37,7,CH-3350,REC
699381,2,4,10,1,3,7,LF-0200,REC
699408,3,10,8,1,8,7,LB-0500,RUSH
699424,3,4,33,2,1,7,DJ-1325,RUSH
699449,4,9,51,1,1,7,LF-0200,REC
699525,2,10,18,4,29,7,AB-3500,REC
699548,2,0,31,1,3,7,ER-0462,REC
699571,3,7,8,3,26,7,AB-3500,REC
699596,4,13,5,1,1,7,CT-1220,RUSH
699611,4,5,55,1,15,7,DW-3600,RUSH
699625,4,2,0,2,6,7,DW-3600,RUSH
699666,1,3,30,2,11,7,CH-5000,RUSH
699694,2,8,21,1,3,7,SD-0800,RUSH
699770,4,12,12,3,8,7,VM-0250,REC
699788,4,5,18,2,1,7,CH-5000,RUSH
699827,1,5,26,3,84,7,MG-1050,REC
699850,2,11,13,2,1,7,MF-1300,RUSH
699869,2,3,57,1,5,7,ED-0200,REC
699890,3,14,22,3,71,7,GS-0100,REC
699897,3,11,28,2,36,7,NR-0350,FUM
699922,3,2,17,1,3,7,MF-1300,RUSH
699949,4,4,7,1,12,7,MF-1300,RUSH
699961,4,1,22,2,18,7,MG-0650,REC
699979,1,9,51,3,31,7,CC-3650,REC
699989,1,6,58,1,85,7,IC-0300,RUSH
699997,1,4,40,1,11,6,CC-3650,REC
700043,2,1,19,2,7,7,MW-0500,REC
700061,3,12,22,2,17,7,MW-0500,REC
700165,1,3,53,2,20,7,XG-0100,REC
