tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8513,4257,CAR,20,7,10,0,3,8,12,1,157,32,176,31,18,3,1,0,4,252,2,12,1,9,2,5,85,32.5,2,1,1,0,2,3,80,3,2,43,0,22,14,7,1,14,3,3,8,5,39,6,26,2,10,11,58,6,19,1,3,1,2,20,106,10,48,2,3,11,54,11,71,6,50,11,56,1,0,1,17,1,0,13,96,6,20,9,73,3,5,52,395,7,27,14,44,13,105,4,8,6,6,44,5,32,8,32,13,59,3,5,4,29,18,0,1,263,10,186,2,1,0,5,1,12,6,8,10,9,3,2,9,6,3,0,2,1,1,1,2,3,0,73,58
8514,4257,DEN,21,0,7,0,14,9,11,1,150,31,159,26,18,2,2,1,3,140,2,26,0,0,1,0,22,27.5,3,2,1,0,0,0,0,2,1,100,69,14,8,2,4,14,8,4,2,0,0,3,29,5,13,5,21,8,50,4,23,2,14,14,86,9,31,4,33,3,22,10,118,3,5,12,55,0,0,0,0,1,0,14,97,1,0,5,28,6,53,15,101,13,103,8,37,7,19,4,10,4,8,28,11,68,8,20,5,-4,7,8,4,-3,19,3,0,318,11,128,0,0,0,6.5,0,17,4,7.5,12,0,5,5,6,1,6,0,0,1,2,1,2,1,0,58,73
8515,4258,BUF,7,0,7,0,0,5,5,1,65,24,95,22,15,2,0,0,7,313,1,21,1,13,0,0,89,27,1,1,0,0,0,1,0,1,1,29,33,11,6,3,2,9,3,3,3,3,17,4,9,4,14,2,4,5,25,4,-1,2,-3,8,51,10,6,6,8,5,11,9,35,2,10,7,14,1,19,2,33,1,0,11,63,1,0,4,40,6,8,42,218,10,31,5,32,9,32,8,5,2,3,-2,5,4,2,6,5,4,4,4,0,0,16,0,0,287,9,292,1,3,0,9.5,6,9.5,5,5,13,0,5,2,8,1,10,0,1,3,2,0,0,3,0,49,68
8516,4258,BAL,13,3,7,0,3,4,11,3,86,31,225,34,23,4,0,1,3,128,2,1,2,37,0,0,35,33,1,0,1,0,2,2,132,1,0,21,128,11,3,6,2,17,5,8,4,0,0,1,-1,8,21,3,4,3,8,6,20,4,34,11,28,10,52,4,6,1,0,7,5,8,38,13,55,1,35,3,103,2,16,15,104,6,62,5,44,8,42,41,279,14,48,13,106,11,65,9,9,5,8,19,10,95,10,33,10,26,1,3,2,-9,33,1,0,231,10,107,0,0,0,5,1,9,3.5,8,9.5,28,7,4,7,1,7,0,3,1,1,0,1,0,0,68,49
8517,4259,CHI,14,7,7,0,0,3,10,1,73,20,185,29,16,5,1,0,7,296,4,40,5,103,1,3,30,23.5,2,1,1,0,0,0,0,2,2,27,83,12,9,3,0,13,8,1,4,1,15,0,0,2,0,5,24,5,13,3,7,4,14,12,61,7,12,1,0,2,12,7,16,2,16,12,44,1,29,3,57,3,54,13,139,7,57,4,14,4,6,31,209,11,137,9,12,14,36,6,4,6,7,16,5,53,3,4,3,15,2,5,1,19,31,1.5,0,301,12,267,0,2,0,6.5,1,19,8.5,7.5,12.5,0,3,0,8,2,6,0,1,2,0,1,1,0,1,56,75
8518,4259,HOU,23,0,10,3,10,5,12,0,131,37,215,35,22,2,1,0,5,243,3,29,3,73,1,12,69,36.5,2,0,2,0,3,3,94,3,1,38,105,14,7,3,4,17,3,6,8,2,4,3,9,7,30,10,61,6,15,4,10,1,2,16,51,12,44,5,36,2,16,9,79,8,42,8,32,7,78,2,0,1,0,19,161,3,6,7,48,6,16,40,327,10,34,12,52,15,129,7,10,5,9,67,7,16,6,19,5,53,2,9,8,30,16,3,1,429,13,203,0,1,0,4.5,3,9.5,4.5,5,11.5,1,6,6,9,2,6,0,1,4,0,0,1,1,0,75,56
8519,4260,CIN,23,3,10,7,3,5,11,2,58,19,324,30,23,7,1,0,3,144,2,21,3,50,1,0,44,25,2,1,1,0,3,4,101,3,1,23,239,8,4,3,1,18,10,6,2,3,0,3,14,1,11,5,17,1,-2,4,12,1,5,10,22,7,33,1,2,2,7,8,65,3,35,14,77,2,81,1,54,2,54,17,271,4,31,5,59,4,5,45,377,16,142,11,84,10,98,5,10,8,3,12,9,71,6,24,7,57,4,19,8,21,42,0,0,288,11,133,0,1,0,10,2,9,6,11,10,6,1,1,9,2,5,0,2,1,0,0,1,2,0,57,71
8520,4260,NYJ,22,7,9,0,6,8,11,3,152,34,188,35,19,1,1,0,3,154,2,11,3,110,1,14,95,35,2,0,2,0,3,4,88,5,2,69,69,17,11,5,1,13,4,6,3,1,3,3,13,2,5,11,44,5,13,6,62,2,12,19,82,9,52,2,18,4,15,11,81,5,9,12,36,1,18,4,45,1,0,15,69,8,54,0,0,11,66,55,359,11,54,15,88,10,46,7,5,7,7,29,12,87,10,48,7,43,8,23,8,22,1,1,0,335,10,133,0,1,0,10.5,6.5,4.5,6,1,12.5,0,1,0,4,1,5,0,0,4,1,0,1,2,0,71,57
8521,4261,CLE,10,0,7,3,0,6,7,1,120,21,168,26,12,3,1,0,5,251,0,0,0,0,0,0,15,20.5,1,1,0,0,1,1,35,2,1,105,102,8,8,0,0,8,5,1,2,3,-3,0,0,1,6,6,52,0,0,2,1,9,64,14,104,3,-4,4,20,5,37,7,18,3,15,9,55,5,102,0,0,2,0,12,137,3,0,2,0,9,53,33,295,11,123,10,8,8,37,3,6,3,4,5,4,8,0,0,0,0,3,3,3,0,22,1,0,270,13,192,0,0,0,10.5,1,8.5,5,11,15,3,0,0,9,2,6,0,1,0,0,3,1,0,0,52,77
8522,4261,PHI,29,7,6,9,7,7,14,2,133,34,270,37,22,2,0,0,6,295,4,59,2,42,1,5,46,39.5,3,1,2,0,2,3,60,4,2,36,85,17,10,5,2,17,9,4,4,11,53,0,0,1,1,10,35,0,0,1,1,11,43,19,61,13,65,2,7,2,1,12,77,6,19,15,106,1,19,1,22,2,35,22,171,2,14,8,69,5,24,49,364,13,140,12,72,14,58,4,11,7,10,38,9,53,0,0,0,0,8,19,5,19,8,0,0,458,12,235,3,3,0,5,4,6,3.5,4,7.5,3,2,2,7,1,4,2,3,2,0,1,1,0,0,77,52
