pid,psr,ints,iry
697210,TS-1450,TD-0700,4
697268,TS-1450,BB-1750,1
697294,CN-0500,CH-1500,0
697490,BO-0650,TP-2000,3
697566,JC-6200,AH-0250,12
697667,AD-0100,MW-2250,14
697802,RF-0500,JS-2050,0
697870,RG-1850,RM-3050,5
697972,BB-2425,JT-1650,9
698244,MM-0912,EK-0250,77
698598,AS-1600,JV-0425,0
698689,JW-5650,DT-1970,9
698864,RW-3850,IA-0100,9
699232,EM-0200,BC-0500,0
699507,BR-1100,BB-2725,26
699566,KC-2350,RS-0962,51
699634,KC-2350,JH-2100,0
699685,CK-0250,NB-0400,0
699757,CK-0250,RA-1350,5
699929,TT-0500,MW-2250,0
699993,JF-1900,JH-0100,9
700047,JM-2900,EW-0400,0
700075,JF-1900,JH-0100,0
700132,JM-2900,CM-3250,0
700156,BR-1100,AJ-1200,2
700221,BR-1100,DK-0750,0
700455,KC-2350,BC-1200,0
700497,BO-0650,MP-0950,19
700603,BO-0650,MP-0950,28
700739,RT-0150,JC-3550,13
700832,RT-0150,DH-1250,0
701007,CN-0500,AB-1500,0
701175,BG-0100,LK-0600,1
701185,BG-0100,JB-4975,16
701296,MM-0912,GQ-0100,0
701364,MS-4100,PC-0800,3
701536,JW-5650,PP-0400,25
701567,JW-5650,MC-2570,23
701644,JW-5650,MC-2570,60
701701,JW-5650,DS-5150,0
701805,MR-2500,DA-0950,0
701938,TS-1450,DB-6100,19
702004,AL-1100,AT-0100,46
702079,BB-2425,CH-2250,-2
702121,BB-2425,CH-2250,31
702372,AR-1300,TW-1187,4
702491,JC-6200,NB-0500,28
702579,BO-0650,JC-3550,18
