pid,psr,trg,loc,yds,comp,succ,spk,dfb
697182,TS-1450,DT-0900,SL,11,1,1,0,
697183,TS-1450,CA-0750,SR,0,0,0,0,
697184,TS-1450,ES-0200,SR,0,0,0,0,
697185,TS-1450,VG-0300,SL,12,1,1,0,
697186,TS-1450,ES-0200,SR,5,1,1,0,
697193,CN-0500,GO-0100,SM,0,0,0,0,TW-0600
697194,CN-0500,KB-0950,DM,17,1,1,0,
697197,CN-0500,KB-0950,SR,14,1,1,0,
697200,TS-1450,ES-0200,SR,14,1,1,0,
697202,TS-1450,DT-0900,SR,8,1,1,0,
697204,TS-1450,CA-0750,SR,21,1,1,0,
697207,TS-1450,DT-0900,SR,6,1,1,0,
697210,TS-1450,ES-0200,SR,0,0,0,0,SL-0950
697211,CN-0500,KB-0950,SL,0,0,0,0,
697213,CN-0500,MT-1300,SM,1,1,0,0,
697215,TS-1450,ES-0200,SL,15,1,1,0,
697223,CN-0500,KB-0950,SR,0,0,0,0,
697224,CN-0500,KB-0950,SL,15,1,1,0,
697228,CN-0500,FW-0750,SL,4,1,1,0,
697231,CN-0500,KB-0950,SL,0,0,0,0,
697232,CN-0500,DF-2200,SR,9,1,1,0,
697234,CN-0500,KB-0950,SR,0,0,0,0,
697235,CN-0500,GO-0100,SL,13,1,1,0,
697237,CN-0500,GO-0100,SL,0,1,0,0,
697238,CN-0500,GO-0100,SR,15,1,1,0,
697245,TS-1450,JN-1900,SR,0,0,0,0,JB-4975
697249,CN-0500,KB-0950,SL,16,1,1,0,
697252,CN-0500,,NL,0,0,0,1,
697253,CN-0500,GO-0100,SR,7,1,1,0,
697264,TS-1450,DT-0900,SL,23,1,1,0,
697268,TS-1450,ES-0200,DR,0,0,0,0,
697270,CN-0500,DF-2200,DR,0,0,0,0,
697274,TS-1450,CA-0750,SR,-5,1,0,0,
697275,TS-1450,VG-0300,SM,5,1,0,0,
697277,CN-0500,JS-6700,SR,0,0,0,0,
697278,CN-0500,CB-3850,SR,0,0,0,0,
697281,CN-0500,KB-0950,SM,13,1,0,0,
697283,TS-1450,CA-0750,SR,6,1,1,0,
697285,TS-1450,VG-0300,SL,-2,1,0,0,
697286,TS-1450,VG-0300,SL,13,1,1,0,
697288,TS-1450,KB-1050,SL,6,1,1,0,
697289,TS-1450,ES-0200,SL,9,1,1,0,
697290,TS-1450,CA-0750,SL,25,1,1,0,
697294,CN-0500,KB-0950,SL,0,0,0,0,CH-1500
697299,TS-1450,DT-0900,SM,0,0,0,0,TB-1850
697300,TS-1450,ES-0200,SL,6,1,0,0,
697302,TS-1450,VG-0300,SM,0,0,0,0,KE-0050
697309,CN-0500,CB-3850,SR,11,1,1,0,
697311,CN-0500,GO-0100,SL,18,1,1,0,
697312,CN-0500,GO-0100,SM,12,1,1,0,
697315,CN-0500,DF-2200,SR,0,0,0,0,AT-0100
697318,TS-1450,DT-0900,SR,0,0,0,0,
697328,CN-0500,DF-2200,SR,0,0,0,0,SB-0225
697329,CN-0500,GO-0100,SM,8,1,1,0,
697330,CN-0500,KB-0950,SL,0,0,0,0,CH-1500
697332,CN-0500,GO-0100,DL,0,0,0,0,
697333,CN-0500,KB-0950,SM,16,1,1,0,
697334,CN-0500,,NL,0,0,0,1,
697335,CN-0500,TG-0900,SL,5,1,0,0,
697340,JF-1900,JF-2800,SR,5,1,1,0,
697342,JF-1900,KJ-1400,SR,9,1,1,0,
697346,TT-0500,LM-1000,SM,2,1,0,0,
697348,TT-0500,MG-0650,SL,-4,1,0,0,
697350,JF-1900,SS-2100,SR,3,1,0,0,
697351,JF-1900,SS-2100,SR,6,1,1,0,
697354,JF-1900,MW-0500,DM,16,1,1,0,
697355,JF-1900,SS-2100,SL,0,0,0,0,
697357,TT-0500,LM-1000,SR,5,1,1,0,
697359,TT-0500,CC-2100,SL,0,0,0,0,EW-0400
697363,JF-1900,BP-0450,DL,35,1,1,0,
697364,JF-1900,CG-1030,SR,5,1,1,0,
697366,JF-1900,KA-0400,DR,16,1,1,0,
697369,JF-1900,BP-0450,SL,0,0,0,0,SG-0650
697373,TT-0500,LM-1000,SR,1,1,0,0,
697375,TT-0500,SW-0450,SL,5,1,1,0,
697376,TT-0500,GS-0100,DR,0,0,0,0,
697377,TT-0500,LM-1000,SR,4,1,0,0,
697380,JF-1900,KJ-1400,SM,0,0,0,0,
697385,JF-1900,SS-2100,SM,4,1,1,0,
697386,JF-1900,MW-0500,DM,66,1,1,0,
697392,TT-0500,SW-0450,SM,8,1,1,0,
697393,TT-0500,RW-4050,SL,6,1,1,0,
697395,TT-0500,RB-4900,SR,0,0,0,0,
697397,TT-0500,CC-2100,DM,33,1,1,0,
697404,JF-1900,MW-0500,SM,0,0,0,0,
697406,JF-1900,JF-2800,SM,10,1,1,0,
697407,JF-1900,SS-2100,SM,6,1,1,0,
697409,JF-1900,DP-1300,SR,7,1,1,0,
697410,JF-1900,DP-1300,SL,0,0,0,0,
697411,JF-1900,MW-0500,SR,0,0,0,0,RD-0050
697416,TT-0500,SW-0450,DL,19,1,1,0,
697417,TT-0500,RW-4050,SR,4,1,1,0,
697421,TT-0500,RW-4050,SR,0,0,0,0,
697423,TT-0500,RW-4050,SL,1,1,0,0,
697425,JF-1900,SS-2100,SR,0,0,0,0,RD-0050
697427,JF-1900,CM-2675,SL,0,0,0,0,
697430,TT-0500,SW-0450,SL,11,1,1,0,
697436,JF-1900,JF-2800,SL,0,1,0,0,
697437,JF-1900,KJ-1400,SM,12,1,1,0,
697439,JF-1900,TW-1350,SM,6,1,1,0,
697440,JF-1900,KA-0400,SR,-2,1,0,0,
697441,JF-1900,DP-1300,SL,5,1,0,0,
697442,JF-1900,TW-1350,SR,0,1,0,0,
697443,TT-0500,NO-0150,SR,0,0,0,0,
697445,TT-0500,CC-2100,SL,7,1,0,0,
697447,JF-1900,SS-2100,SR,0,0,0,0,
697452,TT-0500,SW-0450,SL,0,0,0,0,
697455,JF-1900,SS-2100,SM,0,0,0,0,
697456,JF-1900,CM-2675,SR,13,1,1,0,
697458,JF-1900,MW-0500,SR,9,1,1,0,
697460,JF-1900,DP-1300,DM,27,1,1,0,
697462,JF-1900,MW-0500,DR,0,0,0,0,
697465,JF-1900,SS-2100,SL,0,1,0,0,
697470,TT-0500,SW-0450,DM,0,0,0,0,JS-4300
697472,TT-0500,RW-4050,SL,9,1,1,0,
697485,BO-0650,CF-0375,SR,6,1,1,0,
697486,BO-0650,LM-1150,SM,6,1,1,0,
697490,BO-0650,DH-3950,SL,0,0,0,0,
697492,JC-6200,AJ-0430,SR,6,1,1,0,
697495,JC-6200,ER-0500,SR,13,1,1,0,
697496,JC-6200,AJ-0430,DL,29,1,1,0,
697504,BO-0650,LM-1150,SR,-6,1,0,0,
697510,JC-6200,LP-0200,SR,0,0,0,0,
697511,JC-6200,KW-0887,SR,5,1,0,0,
697516,BO-0650,DH-3950,SL,5,1,1,0,
697517,BO-0650,WF-0300,DM,0,0,0,0,JG-1550
697518,BO-0650,RG-1870,SM,5,1,0,0,
697519,BO-0650,SA-0850,SM,12,1,1,0,
697521,BO-0650,TE-0350,SM,5,1,1,0,
697525,BO-0650,WF-0300,SR,7,1,0,0,
697526,BO-0650,TE-0350,SR,0,0,0,0,
697529,JC-6200,KW-0887,SL,0,0,0,0,
697531,JC-6200,ZM-0250,SR,5,1,1,0,
697532,JC-6200,ZM-0250,SR,4,1,1,0,
697537,BO-0650,LM-1150,SR,5,1,1,0,
697538,BO-0650,BM-2350,SM,6,1,1,0,
697540,BO-0650,CF-0375,SR,0,0,0,0,
697541,BO-0650,DH-3950,SL,9,1,1,0,
697545,BO-0650,DH-3950,DL,23,1,1,0,
697548,JC-6200,AJ-0430,SM,16,1,1,0,
697549,JC-6200,JL-0280,SL,5,1,1,0,
697551,JC-6200,KW-0887,SR,0,0,0,0,
697553,BO-0650,WF-0300,DM,0,0,0,0,
697559,JC-6200,AJ-0430,DR,54,1,1,0,
697560,JC-6200,ER-0500,DM,19,1,1,0,
697566,JC-6200,KW-0887,SR,0,0,0,0,
697567,BO-0650,WF-0300,DL,20,1,1,0,
697569,BO-0650,BM-2350,SL,0,0,0,0,
697570,BO-0650,SA-0850,SM,5,1,0,0,
697571,BO-0650,BM-2350,SL,0,0,0,0,
697575,JC-6200,JL-0280,SL,0,0,0,0,VW-0200
697578,BO-0650,DH-3950,SM,0,0,0,0,
697580,BO-0650,WF-0300,DL,0,0,0,0,
697585,JC-6200,ER-0500,SR,0,0,0,0,
697588,BO-0650,SA-0850,SR,8,1,1,0,
697589,BO-0650,DH-3950,SM,3,1,1,0,
697592,BO-0650,DH-3950,SL,14,1,0,0,
697595,JC-6200,AJ-0430,DR,0,0,0,0,
697596,JC-6200,AJ-0430,SR,0,0,0,0,
697599,BO-0650,LM-1150,SL,6,1,1,0,
697600,BO-0650,WF-0300,SL,27,1,1,0,
697605,BO-0650,WF-0300,DL,0,0,0,0,JG-1550
697607,BO-0650,WF-0300,SL,18,1,1,0,
697612,JC-6200,ER-0500,DM,19,1,1,0,
697614,JC-6200,ZM-0250,SL,5,1,0,0,
697619,BO-0650,WF-0300,DL,35,1,1,0,
697621,BO-0650,WF-0300,DR,0,0,0,0,DH-0850
697622,BO-0650,DH-3950,DL,0,0,0,0,
697625,JC-6200,ER-0500,SL,6,1,1,0,
697626,JC-6200,ER-0500,SL,0,0,0,0,AB-2250
697631,BO-0650,RG-1870,SR,12,1,1,0,
697634,BO-0650,WF-0300,DL,0,0,0,0,
697636,JC-6200,KW-0887,SR,10,1,1,0,
697638,JC-6200,JL-0280,SR,1,1,0,0,
697639,JC-6200,KW-0887,DM,19,1,1,0,
697640,JC-6200,,NL,0,0,0,0,
697641,JC-6200,JL-0280,SL,0,0,0,0,
697642,JC-6200,ZM-0250,SM,0,0,0,0,
697643,JC-6200,KW-0887,DR,0,0,0,0,JJ-5000
697647,AD-0100,AG-1500,SR,8,1,1,0,
697651,RF-0500,QE-0100,SM,9,1,1,0,
697653,RF-0500,MF-1300,SR,0,0,0,0,CD-2200
697655,RF-0500,BM-0300,DL,18,1,1,0,
697657,RF-0500,BM-0300,SR,0,0,0,0,
697658,RF-0500,MF-1300,SL,10,1,1,0,
697661,RF-0500,QE-0100,SL,3,1,1,0,
697664,AD-0100,AG-1500,SL,15,1,1,0,
697666,AD-0100,CU-0150,SL,0,0,0,0,
697667,AD-0100,TB-2075,DR,0,0,0,0,
697668,RF-0500,MF-1300,SL,24,1,1,0,
697670,RF-0500,,NL,0,0,0,0,
697672,RF-0500,BM-0300,SR,0,0,0,0,DK-0750
697673,RF-0500,BM-0300,SM,0,0,0,0,
697674,RF-0500,BP-1200,SR,0,1,0,0,
697677,AD-0100,CU-0150,DR,54,1,1,0,
697678,AD-0100,CU-0150,SR,0,0,0,0,
697680,AD-0100,CU-0150,SL,0,0,0,0,
697684,RF-0500,QE-0100,DM,23,1,1,0,
697687,RF-0500,MF-1300,SR,0,1,0,0,
697688,RF-0500,BP-1200,SM,0,0,0,0,MH-3750
697690,AD-0100,AG-1500,SR,-1,1,0,0,
697692,AD-0100,BL-0100,SM,21,1,1,0,
697693,AD-0100,AG-1500,DM,54,1,1,0,
697697,RF-0500,MF-1300,SL,0,0,0,0,
697699,RF-0500,ED-0200,SM,0,0,0,0,
697701,RF-0500,ED-0200,SR,15,1,1,0,
697706,AD-0100,GB-0350,SR,0,0,0,0,DH-1400
697710,RF-0500,QE-0100,SL,3,1,0,0,
697712,RF-0500,BP-1200,SL,7,1,1,0,
697714,RF-0500,QE-0100,SL,-1,1,0,0,
697715,RF-0500,QE-0100,SR,0,0,0,0,MJ-1800
697718,AD-0100,BL-0100,SR,15,1,1,0,
697719,AD-0100,BL-0100,SR,6,1,1,0,
697721,AD-0100,CU-0150,SR,5,1,1,0,
697722,AD-0100,TB-2075,SL,10,1,1,0,
697725,AD-0100,AG-1500,SR,4,1,1,0,
697726,AD-0100,AG-1500,SR,7,1,1,0,
697728,AD-0100,GB-0350,SL,1,1,0,0,
697729,AD-0100,TB-2075,SM,14,1,0,0,
697733,RF-0500,BM-0300,SL,10,1,1,0,
697735,RF-0500,ED-0200,SM,0,0,0,0,
697741,AD-0100,GB-0350,SL,4,1,0,0,
697743,RF-0500,BM-0300,DM,0,0,0,0,MH-3750
697744,RF-0500,MF-1300,SL,17,1,1,0,
697746,RF-0500,MF-1300,SL,8,1,1,0,
697747,RF-0500,BP-1200,SL,0,0,0,0,
697749,AD-0100,AG-1500,SL,29,1,1,0,
697751,AD-0100,GB-0350,SM,0,0,0,0,
697752,AD-0100,BL-0100,DL,49,1,1,0,
697754,AD-0100,AG-1500,SL,6,1,1,0,
697764,RF-0500,QE-0100,SR,0,1,0,0,
697770,RF-0500,ED-0200,SR,0,0,0,0,
697774,AD-0100,AG-1500,DL,32,1,1,0,
697777,AD-0100,AG-1500,SR,0,0,0,0,
697781,RF-0500,QE-0100,SR,17,1,1,0,
697784,RF-0500,ED-0200,DM,22,1,1,0,
697786,RF-0500,BM-0300,SR,4,1,0,0,
697790,AD-0100,AG-1500,SR,6,1,1,0,
697792,AD-0100,AG-1500,SR,9,1,1,0,
697794,AD-0100,JW-6545,SR,7,1,1,0,
697797,AD-0100,AG-1500,SR,11,1,0,0,
697800,RF-0500,BM-0300,DM,0,0,0,0,
697801,RF-0500,ED-0200,DR,0,0,0,0,CD-2200
697802,RF-0500,ED-0200,SR,0,0,0,0,
697808,CW-1425,JM-1550,SR,0,0,0,0,
697809,CW-1425,ZE-0100,SR,14,1,1,0,
697810,CW-1425,BC-0700,SL,11,1,1,0,
697812,CW-1425,ZE-0100,SR,13,1,1,0,
697814,CW-1425,JM-1550,DL,19,1,1,0,
697817,RG-1850,GB-0200,SR,0,0,0,0,
697822,CW-1425,JH-5750,SR,0,0,0,0,
697824,CW-1425,JM-1550,SR,0,0,0,0,
697827,CW-1425,JH-5750,SL,0,0,0,0,EO-0075
697830,RG-1850,IC-0300,SM,2,1,0,0,
697831,RG-1850,DJ-1850,SR,0,1,0,0,
697839,RG-1850,MJ-1175,SL,6,1,1,0,
697841,RG-1850,GB-0200,SL,0,0,0,0,
697843,CW-1425,JM-1550,SR,28,1,1,0,
697846,CW-1425,JM-1550,SR,0,0,0,0,
697849,RG-1850,TP-2400,SR,11,1,1,0,
697850,RG-1850,CC-3650,SL,0,0,0,0,
697851,RG-1850,DJ-1850,SR,16,1,1,0,
697853,RG-1850,TP-2400,DL,44,1,1,0,
697855,RG-1850,AH-1900,SL,0,0,0,0,
697860,CW-1425,NA-0050,SL,4,1,1,0,
697862,CW-1425,NA-0050,SM,0,0,0,0,
697864,RG-1850,TP-2400,SM,13,1,1,0,
697867,RG-1850,DJ-1850,SL,12,1,1,0,
697870,RG-1850,CC-3650,SM,0,0,0,0,JH-3675
697874,CW-1425,ZE-0100,SR,5,1,0,0,
697875,CW-1425,JM-1550,SM,8,1,1,0,
697876,CW-1425,NA-0050,SL,11,1,1,0,
697877,CW-1425,DS-3300,SL,15,1,1,0,
697878,CW-1425,JM-1550,SL,0,0,0,0,
697879,CW-1425,DS-3300,SR,0,0,0,0,CN-0250
697880,CW-1425,DS-3300,SL,0,0,0,0,
697885,RG-1850,DJ-1850,SR,0,0,0,0,
697886,RG-1850,IC-0300,SR,14,1,1,0,
697888,RG-1850,CC-3650,DL,58,1,1,0,
697890,RG-1850,TP-2400,DL,0,0,0,0,
697891,RG-1850,AH-1900,DL,0,0,0,0,
697895,CW-1425,JH-5750,SM,0,0,0,0,
697896,CW-1425,JM-1550,DM,22,1,1,0,
697899,CW-1425,DS-3300,SL,0,0,0,0,
697900,CW-1425,ZE-0100,SM,6,1,0,0,
697904,CW-1425,JM-1550,DR,0,0,0,0,
697905,CW-1425,DG-2650,SL,9,1,1,0,
697907,CW-1425,JM-1550,SR,12,1,1,0,
697909,CW-1425,DG-2650,SL,5,1,0,0,
697910,CW-1425,JM-1550,SR,0,0,0,0,
697911,CW-1425,ZE-0100,SM,5,1,1,0,
697912,CW-1425,NA-0050,DR,35,1,1,0,
697918,RG-1850,TP-2400,DL,0,0,0,0,
697919,RG-1850,CC-3650,SR,11,1,0,0,
697921,CW-1425,ZE-0100,SL,15,1,1,0,
697928,RG-1850,MJ-1175,SR,3,1,0,0,
697929,RG-1850,CC-3650,DR,0,0,0,0,
697930,RG-1850,TP-2400,DR,0,0,0,0,
697935,CW-1425,DS-3300,SR,9,1,0,0,
697937,RG-1850,TP-2400,SR,0,0,0,0,
697941,CW-1425,JM-1550,SR,9,1,1,0,
697944,CW-1425,JM-1550,SR,0,0,0,0,JH-0100
697945,CW-1425,JM-1550,SR,16,1,1,0,
697947,CW-1425,NA-0050,SL,7,1,0,0,
697950,CW-1425,ZE-0100,SM,0,0,0,0,JS-1025
697953,RG-1850,DJ-1850,SL,0,0,0,0,
697955,RG-1850,AH-1900,SL,0,0,0,0,
697970,BB-2425,AR-1250,DR,0,0,0,0,
