gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,olid
4257,697181,DEN,CAR,KOFF,0,6,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697182,DEN,CAR,PASS,1,30,1,15,0,0,0,3,3,1,10,25,2,1,0,0,0,1,0,0,0,0,0,0,2034
4257,697183,DEN,CAR,PASS,2,4,1,14,17,0,0,3,3,1,10,36,2,0,0,0,0,0,0,0,0,0,0,0,2034
4257,697184,DEN,CAR,PASS,3,5,1,14,13,0,0,3,3,2,10,36,2,0,0,0,0,0,0,0,0,0,0,0,2034
4257,697185,DEN,CAR,PASS,4,26,1,14,8,0,0,3,3,3,10,36,2,1,1,0,0,0,0,0,0,0,0,0,2034
4257,697186,DEN,CAR,PASS,5,41,1,13,42,0,0,3,3,1,10,48,3,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697187,DEN,CAR,RUSH,6,38,1,13,1,0,0,3,3,2,5,53,3,1,0,0,0,1,0,0,0,0,0,0,2034
4257,697188,DEN,CAR,RUSH,7,36,1,12,23,0,0,3,3,1,10,66,4,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697189,DEN,CAR,RUSH,8,10,1,11,47,0,0,3,3,2,5,71,4,1,0,0,0,1,0,0,0,1,0,0,2034
4257,697190,CAR,DEN,RUSH,1,36,1,11,37,0,0,3,3,1,10,29,2,0,0,0,0,1,0,0,0,0,0,0,2035
4257,697191,CAR,DEN,RUSH,2,40,1,11,1,0,0,3,3,2,4,35,2,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697192,CAR,DEN,RUSH,3,42,1,10,21,0,0,3,3,1,10,46,3,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697193,CAR,DEN,PASS,4,4,1,9,39,0,0,3,3,2,9,47,3,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697194,CAR,DEN,PASS,5,40,1,9,35,0,0,2,3,3,9,47,3,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697195,CAR,DEN,RUSH,6,48,1,8,55,0,0,2,3,1,10,64,4,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697196,CAR,DEN,RUSH,7,47,1,8,7,0,0,2,3,1,10,84,5,0,0,0,0,1,0,0,0,0,0,0,2035
4257,697197,CAR,DEN,PASS,8,7,1,7,20,0,0,1,3,2,8,86,5,1,1,0,7,0,0,1,0,0,0,0,2035
4257,697198,CAR,DEN,FGXP,8,3,1,7,13,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697199,DEN,CAR,KOFF,0,6,1,7,13,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697200,DEN,CAR,PASS,1,30,1,7,13,0,7,3,1,1,10,25,2,1,0,0,0,0,0,0,0,0,0,0,2034
4257,697201,DEN,CAR,RUSH,2,29,1,6,48,0,7,3,1,1,10,39,2,0,1,0,0,1,0,0,0,0,0,0,2034
4257,697202,DEN,CAR,PASS,3,41,1,6,19,0,7,3,1,2,7,42,3,1,0,0,0,1,0,0,0,0,0,0,2034
4257,697203,DEN,CAR,RUSH,4,40,1,5,38,0,7,3,1,1,10,50,3,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697204,DEN,CAR,PASS,5,38,1,4,58,0,7,3,1,2,11,49,3,1,1,0,0,1,0,0,0,0,0,0,2034
4257,697205,DEN,CAR,RUSH,6,40,1,4,20,0,7,3,1,1,10,70,4,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697206,DEN,CAR,RUSH,7,40,1,3,40,0,7,3,1,2,4,76,4,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697207,DEN,CAR,PASS,8,38,1,3,0,0,7,3,1,3,2,78,4,1,1,0,0,1,0,0,0,0,0,0,2034
4257,697208,DEN,CAR,RUSH,9,34,1,2,22,0,7,3,1,1,10,84,5,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697209,DEN,CAR,PASS,10,39,1,1,48,0,7,3,1,2,10,84,5,0,0,0,0,0,1,0,0,0,0,0,2034
4257,697210,DEN,CAR,PASS,11,6,1,1,9,0,7,3,1,3,19,75,4,0,1,0,0,0,0,0,1,0,0,0,2034
4257,697211,CAR,DEN,PASS,1,8,1,1,3,7,0,1,3,1,10,36,2,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697212,CAR,DEN,RUSH,2,43,1,0,55,7,0,1,3,2,10,36,2,0,0,0,0,1,0,0,0,0,0,0,2035
4257,697213,CAR,DEN,PASS,3,30,1,0,12,7,0,1,3,3,6,40,2,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697214,DEN,CAR,PUNT,0,8,2,15,0,0,7,3,1,4,5,41,3,0,0,0,0,0,0,0,0,0,0,0,0
4257,697215,DEN,CAR,PASS,1,38,2,14,52,0,7,3,1,1,10,20,1,1,0,0,0,1,0,0,0,0,0,0,2034
4257,697216,DEN,CAR,RUSH,2,28,2,14,14,0,7,3,1,1,10,35,2,1,0,0,0,1,0,0,0,0,0,0,2034
4257,697217,DEN,CAR,RUSH,3,44,2,13,46,0,7,3,1,1,10,63,4,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697218,DEN,CAR,RUSH,4,39,2,13,2,0,7,3,1,2,2,71,4,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697219,DEN,CAR,RUSH,5,7,2,12,23,0,7,3,1,3,1,72,4,1,0,0,7,0,0,0,0,0,0,0,2034
4257,697220,DEN,CAR,FGXP,5,3,2,12,16,7,7,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4257,697221,CAR,DEN,KOFF,0,6,2,12,16,7,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697222,CAR,DEN,RUSH,1,41,2,12,9,7,7,1,3,1,10,11,1,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697223,CAR,DEN,PASS,2,8,2,11,28,7,7,1,3,2,6,15,1,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697224,CAR,DEN,PASS,3,38,2,11,20,7,7,0,3,3,6,15,1,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697225,CAR,DEN,RUSH,4,36,2,10,42,7,7,0,2,1,10,30,2,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697226,CAR,DEN,RUSH,5,41,2,10,6,7,7,0,2,2,4,36,2,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697227,CAR,DEN,RUSH,6,37,2,9,25,7,7,0,2,3,1,39,2,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697228,CAR,DEN,PASS,7,36,2,8,48,7,7,0,2,1,10,42,3,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697229,CAR,DEN,RUSH,8,38,2,8,12,7,7,0,2,2,6,46,3,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697230,CAR,DEN,RUSH,9,41,2,7,34,7,7,0,2,1,10,52,3,0,0,0,0,1,0,0,0,0,0,0,2035
4257,697231,CAR,DEN,PASS,10,3,2,6,53,7,7,0,2,2,6,56,3,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697232,CAR,DEN,PASS,11,13,2,6,50,7,7,0,1,3,6,56,3,1,1,0,0,0,0,0,0,0,0,0,2035
4257,697233,CAR,DEN,RUSH,12,38,2,6,37,7,7,0,1,1,10,65,4,0,0,0,0,1,0,0,0,0,0,0,2035
4257,697234,CAR,DEN,PASS,13,4,2,5,59,7,7,0,1,2,10,65,4,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697235,CAR,DEN,PASS,14,38,2,5,55,7,7,0,1,3,10,65,4,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697236,CAR,DEN,RUSH,15,36,2,5,17,7,7,0,1,1,10,78,4,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697237,CAR,DEN,PASS,16,41,2,4,41,7,7,0,1,2,7,81,5,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697238,CAR,DEN,PASS,17,31,2,4,0,7,7,0,1,3,7,81,5,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697239,CAR,DEN,NOPL,17,22,2,3,29,7,7,0,1,1,4,96,5,0,0,0,0,0,0,1,0,0,0,0,2035
4257,697240,CAR,DEN,RUSH,18,6,2,3,7,7,7,0,1,1,2,98,5,1,1,0,7,0,0,0,0,0,0,0,2035
4257,697241,CAR,DEN,FGXP,18,3,2,3,1,14,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697242,DEN,CAR,KOFF,0,6,2,3,1,7,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697243,DEN,CAR,RUSH,1,35,2,3,1,7,14,1,0,1,10,25,2,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697244,DEN,CAR,RUSH,2,24,2,2,24,7,14,1,0,2,8,27,2,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697245,DEN,CAR,PASS,3,5,2,2,0,7,14,1,0,3,7,28,2,0,1,0,0,0,0,0,0,0,0,0,2034
4257,697246,CAR,DEN,PUNT,0,10,2,1,55,14,7,0,1,4,7,28,2,0,0,0,0,0,0,1,0,0,0,0,0
4257,697247,CAR,DEN,RUSH,1,23,2,1,45,14,7,0,1,1,10,22,2,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697248,CAR,DEN,RUSH,2,26,2,1,22,14,7,0,1,2,1,31,2,1,1,1,0,1,0,0,0,0,0,0,2035
4257,697249,CAR,DEN,PASS,3,21,2,0,56,14,7,0,1,1,10,34,2,1,1,1,0,1,0,0,0,0,0,0,2035
4257,697250,CAR,DEN,NOPL,3,2,2,0,35,14,7,0,1,1,10,50,3,0,0,0,0,0,0,1,0,0,0,0,2035
4257,697251,CAR,DEN,RUSH,4,21,2,0,33,14,7,0,1,1,5,55,3,1,1,0,0,1,0,0,0,0,0,0,2035
4257,697252,CAR,DEN,PASS,5,20,2,0,12,14,7,0,1,1,10,67,4,0,0,1,0,0,0,0,0,0,0,0,2035
4257,697253,CAR,DEN,PASS,6,20,2,0,12,14,7,0,1,2,10,67,4,0,1,0,0,0,0,0,0,0,0,0,2035
4257,697254,CAR,DEN,FGXP,7,4,2,0,7,14,7,0,1,3,3,74,4,0,0,0,3,0,0,1,0,0,0,0,0
4257,697255,DEN,CAR,KOFF,0,6,2,0,3,7,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697256,DEN,CAR,RUSH,1,25,2,0,3,7,17,1,0,1,10,25,2,0,0,0,0,0,0,0,0,0,0,0,2034
4257,697257,CAR,DEN,KOFF,0,6,3,15,0,17,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697258,CAR,DEN,RUSH,1,35,3,15,0,17,7,3,3,1,10,25,2,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697259,CAR,DEN,RUSH,2,42,3,14,22,17,7,3,3,2,7,28,2,1,0,0,0,1,0,0,0,0,0,0,2035
4257,697260,CAR,DEN,RUSH,3,38,3,13,40,17,7,3,3,1,10,35,2,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697261,CAR,DEN,RUSH,4,46,3,13,2,17,7,3,3,2,6,39,2,0,0,0,0,1,0,0,0,0,0,0,2035
4257,697262,CAR,DEN,RUSH,5,43,3,12,16,17,7,3,3,3,1,44,3,0,0,0,0,1,0,0,0,0,0,0,2035
