player,fname,lname,pname,pos1,pos2,height,weight,yob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp
AA-0025,Ameer,Abdullah,A.Abdullah,RB,,69,205,1993,4.5,24,42.5,130,3.95,6.79,30,8.625,54,Nebraska,Big Ten,2015,DET,RES,21,3
AA-0050,Aaron,Adams,A.Adams,OL,,77,305,1989,5.26,22,28.5,101,4.61,7.61,0,0,0,Eastern Kentucky,Ohio Valley,2013,INA,INA,0,0
AA-0075,Andrew,Adams,A.Adams,DB,,71,203,1992,4.54,24,33,118,4.32,6.96,0,0,0,Connecticut,American Athletic,2016,NYG,PS,33,1
AA-0100,Anthony,Adams,A.Adams,DL,,72,300,1980,5.13,0,30.5,109,4.59,7.68,0,0,57,Penn State,Big Ten,2003,INA,INA,0,0
AA-0200,Al,Afalava,A.Afalava,DB,,71,212,1987,4.48,25,40,125,4.07,6.6,0,0,190,Oregon State,Pacific 10,2009,INA,INA,0,0
AA-0300,Anthony,Alabi,A.Alabi,OL,,77,315,1981,5.12,18,32.5,105,4.6,7.64,0,0,162,Texas Christian,Mountain West (MWC),2006,INA,INA,0,0
AA-0400,Alex,Albright,A.Albright,LB,,77,260,1988,4.86,22,36,124,4.03,6.98,0,0,0,Boston College,Atlantic Coast (ACC),2011,INA,INA,0,0
AA-0500,Allen,Aldridge,A.Aldridge,LB,,73,254,1972,0,0,0,0,0,0,0,0,51,Houston,Southwest,1994,INA,INA,0,0
AA-0525,Alvester,Alexander,A.Alexander,RB,,70,206,1990,4.45,18,36,128,4.21,6.89,0,0,0,Wyoming,Mountain West (MWC),2012,INA,INA,0,0
AA-0543,Adrian,Amos,A.Amos,DB,,72,218,1993,4.39,21,35.5,122,4.03,7.09,32.25,9.111,142,Penn State,Big Ten,2015,CHI,FS,38,1
AA-0562,Arik,Armstead,A.Armstead,DL,,79,292,1993,5.06,24,34,117,4.53,7.57,33,10.5,17,Oregon,Pacific 12,2015,SF,LDT,91,1
AA-0600,Abdul-Karim,al-Jabbar,A.al-Jabbar,RB,,70,194,1974,0,0,0,0,0,0,0,0,80,UCLA,Pacific 10,1996,INA,INA,0,0
AA-0700,Andy,Alleman,A.Alleman,OL,,76,310,1983,5.07,30,30,106,4.38,7.43,0,0,88,Akron,Mid-American (MAC),2008,INA,INA,0,0
AA-0800,Anthony,Allen,A.Allen,RB,,73,223,1988,4.56,24,41.5,120,4.06,6.79,30.375,9.625,225,Georgia Tech,Atlantic Coast (ACC),2011,INA,INA,0,0
AA-0850,Antonio,Allen,A.Allen,LB,DB,74,202,1988,4.58,17,34,118,4.25,7.02,0,0,0,South Carolina,Southeastern (SEC),2012,NYJ,FS,39,2
AA-0900,Armando,Allen,A.Allen,RB,,68,190,1989,4.6,23,31.5,120,4.12,7.1,0,0,0,Notre Dame,FBS Independents,2011,INA,INA,0,0
AA-1000,Asher,Allen,A.Allen,DB,,70,190,1988,4.48,22,35,115,4.3,6.93,0,0,86,Georgia,Southeastern (SEC),2009,INA,INA,0,0
AA-1100,Aundrae,Allison,A.Allison,WR,,72,198,1986,4.39,0,37,127,4.25,6.81,0,0,146,East Carolina,Conference USA (C-USA),2007,INA,INA,0,0
AA-1200,Ashley,Ambrose,A.Ambrose,DB,,71,190,1970,0,0,0,0,0,0,0,0,29,Mississippi Valley State,Southwestern Athletic (SWAC),1992,INA,INA,0,0
AA-1300,Andre',Anderson,A.Anderson,RB,,71,205,1988,4.58,17,39,123,4.12,6.92,0,0,0,Tulane,Conference USA (C-USA),2010,INA,INA,0,0
AA-1350,Antonio,Andrews,A.Andrews,RB,,70,225,1992,4.72,20,30,108,4.35,7.17,31.25,9.5,0,Western Kentucky,Sun Belt,2014,TEN,RB,26,3
AA-1400,Antwan,Applewhite,A.Applewhite,DL,LB,75,246,1985,4.73,25,35,115,4.36,7.5,0,0,0,San Diego State,Mountain West (MWC),2008,INA,INA,0,0
AA-1500,Adam,Archuleta,A.Archuleta,DB,LB,72,223,1977,4.46,31,0,0,0,0,0,0,20,Arizona State,Pacific 10,2001,INA,INA,0,0
AA-1550,Armond,Armstead,A.Armstead,DL,,76,290,1990,5.08,0,0,0,0,0,0,0,0,USC,Pacific 12,2012,INA,INA,0,0
AA-1600,Anthony,Armstrong,A.Armstrong,WR,,71,183,1983,4.38,0,0,0,0,0,0,0,0,West Texas A&M,,2010,INA,INA,0,0
AA-1700,Adrian,Arrington,A.Arrington,WR,,75,192,1985,4.55,36,0,0,0,0,0,0,0,Michigan,Big Ten,2010,INA,INA,0,0
AA-1800,Adrian,Awasom,A.Awasom,DL,,77,275,1983,4.93,23,33,107,4.4,7.57,0,0,0,North Texas,Sun Belt,2005,INA,INA,0,0
AA-1900,Akeem,Ayers,A.Ayers,LB,,74,254,1989,4.81,22,34.5,116,4.28,7.19,0,0,39,UCLA,Pacific 10,2011,IND,OLB,56,3
AA-2000,Akin,Ayodele,A.Ayodele,LB,,74,251,1979,4.81,26,35,121,4.12,7,0,0,89,Purdue,Big Ten,2002,INA,INA,0,0
AB-0100,Allen,Bailey,A.Bailey,DL,,75,288,1989,4.71,27,36.5,117,4.56,7.43,34,10.25,86,Miami (FL),Atlantic Coast (ACC),2011,KC,RDE,97,1
AB-0120,Alvin,Bailey,A.Bailey,OL,,75,320,1991,4.9,27,0,0,4.69,7.5,0,0,0,Arkansas,Southeastern (SEC),2013,CLE,RG,78,2
AB-0160,Alex,Balducci,A.Balducci,OL,DL,76,301,1994,5.01,25,33,113,4.63,7.55,0,0,0,Oregon,Pacific 12,2016,SF,PS,56,3
AB-0200,Alan,Ball,A.Ball,DB,,74,195,1985,4.52,11,36,124,4.18,6.75,0,0,237,Illinois,Big Ten,2007,INA,INA,0,0
AB-0300,Antonio,Banks,A.Banks,DB,,70,203,1973,0,0,0,0,0,0,0,0,113,Virginia Tech,Big East,1998,INA,INA,0,0
AB-0400,Alex,Bannister,A.Bannister,WR,,77,207,1979,4.47,0,30.5,110,0,0,0,0,140,Eastern Kentucky,Ohio Valley,2001,INA,INA,0,0
AB-0500,Allen,Barbre,A.Barbre,OL,,76,305,1984,4.84,28,32,105,4.63,7.4,0,0,119,Missouri Southern,,2007,PHI,LG,76,1
AB-0550,Adairius,Barnes,A.Barnes,DB,,71,187,1994,4.55,14,41.5,126,4.08,6.82,0,0,0,Louisiana Tech,Conference USA (C-USA),2016,DET,LCB,38,3
AB-0600,Antwan,Barnes,A.Barnes,LB,,73,251,1984,4.43,31,35,122,4.32,7.29,0,0,134,Florida International,Sun Belt,2007,INA,INA,0,0
AB-0650,Anthony,Barr,A.Barr,LB,,77,255,1992,4.56,19,34.5,125,4.19,6.82,33.5,9.375,9,UCLA,Pacific 12,2014,MIN,SLB,55,1
AB-0700,Alex,Barron,A.Barron,OL,,79,320,1982,5.27,21,38,112,4.57,7.83,0,0,19,Florida State,Atlantic Coast (ACC),2005,INA,INA,0,0
AB-0800,Arnaz,Battle,A.Battle,WR,,73,217,1980,4.58,0,35,117,4.06,6.74,0,0,197,Notre Dame,FBS Independents,2003,INA,INA,0,0
AB-0900,Ainsley,Battles,A.Battles,DB,,71,204,1978,0,0,0,0,0,0,0,0,0,Vanderbilt,Southeastern (SEC),2000,INA,INA,0,0
AB-0950,Alan,Baxter,A.Baxter,LB,,72,238,1991,4.77,22,30,111,4.84,7.23,0,0,0,Northern Illinois,Mid-American (MAC),2013,INA,INA,0,0
AB-0975,Alex,Bayer,A.Bayer,TE,,76,258,1990,4.78,20,31.5,111,4.42,7.26,32.625,9.75,0,Bowling Green,Mid-American (MAC),2014,INA,INA,0,0
AB-1000,Aaron,Beasley,A.Beasley,DB,,72,205,1973,0,0,0,0,0,0,0,0,63,West Virginia,Big East,1996,INA,INA,0,0
AB-1100,Anthony,Becht,A.Becht,TE,,77,272,1977,4.78,0,33.5,123,4.08,6.94,0,0,27,West Virginia,Big East,2000,INA,INA,0,0
AB-1150,Adrian,Bellard,A.Bellard,OL,,77,307,1994,5.49,15,26,93,5.03,8.08,0,0,0,Texas State,Sun Belt,2016,INA,INA,0,0
AB-1200,Arrelious,Benn,A.Benn,WR,,73,220,1988,4.57,20,27.5,121,4.32,6.78,32.25,9.375,39,Illinois,Big Ten,2010,JAC,LWR,17,3
AB-1300,Adam,Bergen,A.Bergen,TE,,76,263,1983,4.78,25,38,121,4.11,7.12,0,0,0,Lehigh,,2005,INA,INA,0,0
AB-1400,Aaron,Berry,A.Berry,DB,,71,180,1988,4.48,11,36,123,3.99,6.61,0,0,0,Pittsburgh,Big East,2010,INA,INA,0,0
