uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
43063,4257,JS-6700,0,0,0,0,2,0,3,0,0,0,0,0
43064,4257,CN-0500,4,3,29,0,1,1,2,0,0,0,0,0
43065,4257,KB-0950,0,0,0,0,0,0,0,1,1,14,0,0
43066,4257,CA-0750,0,0,0,0,6,2,5,0,0,0,0,0
43067,4257,TS-1450,3,1,6,0,1,1,3,0,0,0,0,0
43068,4257,GO-0100,0,0,0,0,0,0,0,2,2,15,0,0
43069,4257,DT-0900,0,0,0,0,0,0,0,1,0,0,0,0
43070,4257,ES-0200,0,0,0,0,0,0,0,1,1,6,0,0
43071,4257,VG-0300,0,0,0,0,0,0,0,1,0,0,0,0
43072,4257,DF-2200,0,0,0,0,0,0,0,1,0,0,0,0
43073,4258,LM-1000,0,0,0,0,3,2,4,0,0,0,0,0
43074,4258,TT-0500,0,0,0,0,1,0,0,0,0,0,0,0
43075,4258,JF-1900,1,1,0,0,0,0,0,0,0,0,0,0
43076,4258,SS-2100,0,0,0,0,0,0,0,1,1,0,0,0
43077,4258,TW-1350,0,0,0,0,1,0,3,0,0,0,0,0
43078,4259,KW-0887,0,0,0,0,0,0,0,0,0,0,0,5
43079,4259,JL-0280,0,0,0,0,2,2,5,0,0,0,0,0
43080,4259,LM-1150,0,0,0,0,2,1,9,0,0,0,0,0
43081,4259,DH-3950,0,0,0,0,0,0,0,1,0,0,0,10
43082,4259,BO-0650,8,3,30,0,0,0,0,0,0,0,0,0
43083,4259,WF-0300,0,0,0,0,0,0,0,3,2,25,0,0
43084,4259,TE-0350,0,0,0,0,0,0,0,1,0,0,0,0
43085,4259,JC-6200,1,1,19,0,0,0,0,0,0,0,0,0
43086,4259,ER-0500,0,0,0,0,0,0,0,1,1,19,0,0
43087,4259,BM-2350,0,0,0,0,0,0,0,2,0,0,0,0
43088,4259,SA-0850,0,0,0,0,0,0,0,1,1,5,0,0
43089,4260,MF-1300,0,0,0,0,6,1,19,0,0,0,0,0
43090,4260,RF-0500,8,4,22,0,1,1,2,0,0,0,0,0
43091,4260,QE-0100,0,0,0,0,0,0,0,1,1,3,0,0
43092,4260,BM-0300,0,0,0,0,0,0,0,3,1,4,0,0
43093,4260,BP-1200,0,0,0,0,1,0,2,1,1,0,0,0
43094,4260,AD-0100,7,5,32,0,0,0,0,0,0,0,0,0
43095,4260,CU-0150,0,0,0,0,0,0,0,2,0,0,0,0
43096,4260,JH-4025,0,0,0,0,3,1,17,0,0,0,0,0
43097,4260,ED-0200,0,0,0,0,0,0,0,2,1,15,0,0
43098,4260,AG-1500,0,0,0,0,0,0,0,3,3,17,0,0
43099,4260,GB-0350,0,0,0,0,0,0,0,1,1,1,0,0
43100,4260,TB-2075,0,0,0,0,0,0,0,1,1,14,0,0
43101,4260,JW-6545,0,0,0,0,1,1,2,0,0,0,0,0
43102,4261,RM-1200,0,0,0,0,8,5,19,0,0,0,0,0
43103,4261,CW-1425,5,1,19,0,0,0,0,0,0,0,0,0
43104,4261,JM-1550,0,0,0,0,0,0,0,3,1,19,0,0
43105,4261,IC-0300,0,0,0,0,3,1,3,0,0,0,0,0
43106,4261,RG-1850,3,0,0,0,0,0,0,0,0,0,0,0
43107,4261,AH-1900,0,0,0,0,0,0,0,2,0,0,0,0
43108,4261,DS-3300,0,0,0,0,0,0,0,2,0,0,0,0
43109,4261,TP-2400,0,0,0,0,0,0,0,1,0,0,0,0
43110,4262,EL-0010,0,0,0,0,5,2,15,0,0,0,0,0
43111,4262,AR-1300,6,4,13,0,1,1,6,0,0,0,0,0
43112,4262,TY-0150,0,0,0,0,4,3,13,1,1,7,0,0
43113,4262,BB-2425,4,2,6,0,0,0,0,0,0,0,0,0
43114,4262,AR-1250,0,0,0,0,0,0,0,1,0,0,0,0
43115,4262,JN-0900,0,0,0,0,0,0,0,3,3,13,0,0
43116,4262,DA-0212,0,0,0,0,0,0,0,1,0,0,0,0
43117,4262,RC-1500,0,0,0,0,1,1,4,2,1,0,0,0
43118,4262,JS-6200,0,0,0,0,1,0,0,0,0,0,0,0
43119,4262,RG-1812,0,0,0,0,0,0,0,1,0,0,0,0
43120,4262,AH-3900,0,0,0,0,0,0,0,1,1,-1,0,0
43121,4263,MM-0912,10,5,36,0,1,1,6,0,0,0,0,0
43122,4263,DM-4300,0,0,0,0,1,0,-2,5,3,24,0,0
43123,4263,DW-0500,0,0,0,0,0,0,0,1,0,0,0,0
43124,4263,AP-0700,0,0,0,0,3,1,-2,0,0,0,0,0
43125,4263,AJ-0900,0,0,0,0,0,0,0,1,0,0,0,0
43126,4263,MA-1150,0,0,0,0,2,1,5,0,0,0,0,0
43127,4263,SD-0537,0,0,0,0,1,0,-1,0,0,0,0,0
43128,4263,RM-1500,0,0,0,0,0,0,0,1,1,9,0,0
43129,4263,TS-1262,0,0,0,0,0,0,0,1,1,3,0,0
43130,4263,HD-0300,0,0,0,0,0,0,0,1,0,0,0,0
43131,4264,DB-3800,9,5,25,0,1,0,4,0,0,0,0,13
43132,4264,JK-2200,0,0,0,0,1,0,2,1,0,0,0,0
43133,4264,LM-1850,0,0,0,0,1,1,6,0,0,0,0,0
43134,4264,BC-2325,0,0,0,0,0,0,0,3,3,22,0,0
43135,4264,TC-0050,0,0,0,0,0,0,0,3,1,2,0,0
43136,4264,WS-0925,0,0,0,0,0,0,0,1,1,1,0,0
43137,4264,DC-0725,5,2,13,0,0,0,0,0,0,0,0,0
43138,4264,SR-0750,0,0,0,0,0,0,0,2,1,10,0,0
43139,4264,DW-1350,0,0,0,0,1,0,2,0,0,0,0,0
43140,4264,CW-0225,0,0,0,0,0,0,0,1,0,0,0,0
43141,4264,AC-2350,0,0,0,0,0,0,0,1,0,0,0,0
43142,4264,JO-0550,0,0,0,0,1,1,2,0,0,0,0,0
43143,4264,MI-0100,0,0,0,0,1,0,2,0,0,0,0,0
43144,4264,JR-2075,0,0,0,0,0,0,0,1,1,3,0,0
43145,4264,MC-2900,0,0,0,0,0,0,0,0,0,0,0,15
43146,4265,MG-1150,0,0,0,0,3,2,9,0,0,0,0,0
43147,4265,PR-0300,8,4,25,0,0,0,0,0,0,0,0,0
43148,4265,HH-0225,0,0,0,0,0,0,0,1,0,0,0,0
43149,4265,DW-4300,0,0,0,0,3,1,12,2,1,4,0,0
43150,4265,DW-1750,0,0,0,0,0,0,0,0,0,0,0,10
