pid,bc,dir,yds,succ,kne
697187,CA-0750,MD,13,1,0
697188,CA-0750,RG,5,1,0
697189,DB-2950,RG,0,0,0
697190,JS-6700,MD,6,1,0
697191,JS-6700,LE,11,1,0
697192,MT-1300,RG,1,0,0
697195,TG-0900,LE,20,1,0
697196,JS-6700,MD,2,0,0
697201,CA-0750,MD,3,0,0
697203,CA-0750,RG,-1,0,0
697205,DB-2950,RG,6,1,0
697206,DB-2950,RG,2,0,0
697208,CA-0750,LG,0,0,0
697212,JS-6700,LG,4,0,0
697216,CA-0750,LT,28,1,0
697217,TS-1450,RT,8,1,0
697218,CA-0750,LT,1,0,0
697219,AJ-0375,RG,28,1,0
697222,CN-0500,LT,4,1,0
697225,CN-0500,LG,6,1,0
697226,JS-6700,MD,3,1,0
697227,JS-6700,MD,3,1,0
697229,FW-0750,RG,6,1,0
697230,FW-0750,LT,4,1,0
697233,JS-6700,RG,0,0,0
697236,CN-0500,LE,3,0,0
697240,CN-0500,RE,2,1,0
697243,CA-0750,LG,2,0,0
697244,CA-0750,LG,1,0,0
697247,CN-0500,MD,9,1,0
697248,FW-0750,MD,3,1,0
697251,CN-0500,MD,12,1,0
697256,TS-1450,NL,-1,0,1
697258,JS-6700,RG,3,0,0
697259,JS-6700,MD,7,1,0
697260,CN-0500,RG,4,1,0
697261,JS-6700,RG,5,1,0
697262,CN-0500,LE,0,0,0
697265,CA-0750,RT,2,0,0
697267,CA-0750,RG,10,1,0
697269,JS-6700,MD,7,1,0
697273,CA-0750,LG,1,0,0
697284,TS-1450,RE,11,1,0
697287,CA-0750,RT,10,1,0
697293,JS-6700,LT,6,1,0
697295,CA-0750,LG,9,1,0
697296,CA-0750,RG,0,0,0
697297,TS-1450,RE,3,1,0
697298,CA-0750,MD,3,0,0
697301,CA-0750,MD,1,1,0
697303,CA-0750,LT,0,0,0
697304,CA-0750,MD,1,1,0
697307,CN-0500,LT,5,1,0
697308,JS-6700,LT,3,1,0
697310,JS-6700,RT,3,0,0
697313,CN-0500,LT,4,1,0
697314,JS-6700,MD,1,0,0
697319,CA-0750,RT,3,0,0
697324,CN-0500,LE,5,0,0
697327,MT-1300,MD,5,1,0
697337,TS-1450,NL,-1,0,1
697339,JF-2800,RE,6,1,0
697341,JF-2800,LG,0,0,0
697343,TW-1350,RT,0,0,0
697347,LM-1000,RT,-6,0,0
697356,JF-1900,MD,0,0,0
697358,LM-1000,RT,-1,0,0
697362,TW-1350,LG,2,0,0
697365,TW-1350,LG,6,1,0
697367,TW-1350,LG,3,0,0
697370,KJ-1400,RG,2,0,0
697374,LM-1000,LG,5,0,0
697381,JF-2800,RT,9,1,0
697382,JF-2800,MD,1,1,0
697384,TW-1350,RE,10,1,0
697389,LM-1000,RG,16,1,0
697390,LM-1000,LT,8,1,0
697394,LM-1000,LE,13,1,0
697396,RB-4900,LT,-3,0,0
697398,LM-1000,LG,3,1,0
697399,LM-1000,LT,0,0,0
697400,TT-0500,MD,0,0,0
697401,LM-1000,LG,1,1,0
697405,JF-2800,RT,5,0,0
697408,JF-2800,RG,3,1,0
697414,LM-1000,LT,4,1,0
697415,LM-1000,RT,6,1,0
697418,RB-4900,LG,5,1,0
697419,LM-1000,RT,0,0,0
697420,TT-0500,LE,6,1,0
697422,RB-4900,RE,-6,0,0
697426,JF-2800,LG,8,1,0
697429,LM-1000,RG,0,0,0
697431,LM-1000,RG,4,1,0
697432,TT-0500,MD,4,1,0
697433,TT-0500,LE,-2,0,0
697435,JF-2800,LG,-2,0,0
697444,LM-1000,RG,2,0,0
697448,TW-1350,RT,0,0,0
697451,LM-1000,RG,3,0,0
697453,TT-0500,RE,3,0,0
697457,JF-2800,RT,4,1,0
697459,TW-1350,LG,2,0,0
697461,TW-1350,RT,2,0,0
697466,TW-1350,RG,3,0,0
697475,TW-1350,LT,-1,0,0
697476,MW-0500,RE,11,1,0
697477,TW-1350,LG,2,0,0
697478,JF-2800,RE,7,1,0
697479,TW-1350,MD,3,1,0
697480,JF-1900,NL,-1,0,1
697481,JF-1900,NL,-1,0,1
697482,JF-1900,NL,-1,0,1
