uid,pid,qb,sk,value,ydsl
21144,697209,TS-1450,VB-0375,1,-9
21145,697271,CN-0500,DW-1100,1,-7
21146,697320,TS-1450,TB-1850,1,-10
21147,697323,CN-0500,TD-0725,0.5,-5
21148,697323,CN-0500,DW-1100,0.5,-5
21149,697325,CN-0500,VM-0300,1,-6
21150,697378,TT-0500,TJ-1025,1,-4
21151,697412,JF-1900,JH-5900,1,-10
21152,697449,JF-1900,JH-5900,1,-8
21153,697463,JF-1900,LD-0800,1,-6
21154,697467,JF-1900,LD-0800,0.5,-9
21155,697467,JF-1900,LA-0200,0.5,-9
21156,697473,TT-0500,TS-3500,1,-12
21157,697534,JC-6200,WM-0550,1,-7
21158,697555,BO-0650,DT-1950,1,-7
21159,697576,JC-6200,JC-3350,1,-1
21160,697590,BO-0650,EG-0350,0.5,-9
21161,697590,BO-0650,LF-0450,0.5,-9
21162,697615,JC-6200,WM-0550,1,-9
21163,697627,JC-6200,JS-3250,1,-8
21164,697637,JC-6200,AB-2250,1,-6
21165,697649,AD-0100,LM-0550,1,-1
21166,697665,AD-0100,SM-2200,1,-5
21167,697704,AD-0100,SM-2200,1,-9
21168,697705,AD-0100,LW-1350,0.5,-1
21169,697705,AD-0100,MW-1800,0.5,-1
21170,697727,AD-0100,LW-1350,1,-11
21171,697736,RF-0500,GA-0400,1,-1
21172,697739,AD-0100,MW-1800,1,-7
21173,697776,AD-0100,LW-1350,1,-8
21174,697837,CW-1425,CK-0850,1,-4
21175,697916,RG-1850,FC-0400,1,-8
21176,697926,CW-1425,CN-0250,1,-4
21177,697938,RG-1850,CB-0800,1,-10
21178,697952,RG-1850,BG-1200,1,-4
21179,697989,BB-2425,CM-0900,1,-10
21180,698083,AR-1300,JO-0300,1,0
21181,698103,BB-2425,MB-5100,1,-8
21182,698116,BB-2425,NP-0130,1,-2
21183,698237,MM-0912,LJ-1700,1,-9
21184,698274,MM-0912,DH-4650,1,-10
21185,698301,DB-3800,BI-0150,1,-4
21186,698518,AS-1600,CR-0650,1,-9
21187,698521,AS-1600,JA-2825,1,-14
21188,698565,AS-1600,BM-1800,1,-10
21189,698643,PR-0300,DF-1350,1,-10
21190,698675,MR-2500,RA-1500,1,-4
21191,698753,MR-2500,GM-0500,1,-6
21192,698788,MR-2500,KA-0625,1,-2
21193,698844,RW-3850,MW-2300,1,-5
21194,698859,RT-0150,FC-0150,1,-8
21195,698899,RW-3850,JP-2850,0.5,0
21196,698899,RW-3850,JJ-4300,0.5,0
21197,698908,RT-0150,MB-1900,1,-9
21198,698914,RW-3850,NS-0800,1,-13
21199,698948,RT-0150,KW-2500,1,-2
21200,698983,RT-0150,CM-0250,1,-7
21201,698991,AL-1100,KH-3100,1,-6
